Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
2,0,0,2,2020-01-24
3,0,0,3,2020-01-25
3,0,0,3,2020-01-26
3,0,0,3,2020-01-27
4,0,0,4,2020-01-28
5,0,0,5,2020-01-29
5,0,0,5,2020-01-30
5,0,0,5,2020-01-31
6,0,0,6,2020-02-01
6,0,0,6,2020-02-02
6,0,0,6,2020-02-03
6,0,0,6,2020-02-04
6,0,0,6,2020-02-05
6,0,0,6,2020-02-06
6,0,0,6,2020-02-07
11,0,0,11,2020-02-08
11,0,0,11,2020-02-09
11,0,0,11,2020-02-10
11,0,0,11,2020-02-11
11,0,2,9,2020-02-12
11,0,2,9,2020-02-13
11,0,2,9,2020-02-14
12,1,4,7,2020-02-15
12,1,4,7,2020-02-16
12,1,4,7,2020-02-17
12,1,4,7,2020-02-18
12,1,4,7,2020-02-19
12,1,4,7,2020-02-20
12,1,4,7,2020-02-21
12,1,4,7,2020-02-22
12,1,4,7,2020-02-23
12,1,4,7,2020-02-24
14,1,11,2,2020-02-25
18,2,11,5,2020-02-26
38,2,11,25,2020-02-27
57,2,11,44,2020-02-28
100,2,12,86,2020-02-29
130,2,12,116,2020-03-01
191,3,12,176,2020-03-02
212,4,12,196,2020-03-03
288,4,12,272,2020-03-04
426,7,12,407,2020-03-05
616,9,12,595,2020-03-06
948,16,12,920,2020-03-07
1125,19,12,1094,2020-03-08
1411,25,12,1374,2020-03-09
1783,33,12,1738,2020-03-10
2293,48,12,2233,2020-03-11
2293,48,12,2233,2020-03-12
3681,79,12,3590,2020-03-13
4496,91,12,4393,2020-03-14
4532,91,12,4429,2020-03-15
6683,149,12,6522,2020-03-16
7715,149,12,7554,2020-03-17
9124,149,12,8963,2020-03-18
10970,244,12,10714,2020-03-19
12758,451,12,12295,2020-03-20
14463,563,12,13888,2020-03-21
16758,676,2206,13876,2020-03-22
20123,862,2206,17055,2020-03-23
22372,1102,3250,18020,2020-03-24
25334,1333,3907,20094,2020-03-25
29252,1697,4955,22600,2020-03-26
33047,1996,5707,25344,2020-03-27
37692,2314,5724,29654,2020-03-28
40295,2608,7226,30461,2020-03-29
44649,3026,7964,33659,2020-03-30
52278,3526,9513,39239,2020-03-31
57122,4778,11053,41291,2020-04-01
59228,5387,12548,41293,2020-04-02
64452,6509,14135,43808,2020-04-03
47378,7562,15572,24244,2020-04-04
48233,8081,16349,23803,2020-04-05
50887,8914,17428,24545,2020-04-06
47396,10330,19523,17543,2020-04-07
51251,10874,21452,18925,2020-04-08
55035,12214,23413,19408,2020-04-09
56600,13199,25195,18206,2020-04-10
58045,13835,26663,17547,2020-04-11
108791,14396,27469,66926,2020-04-12
111932,14969,28001,68962,2020-04-13
129380,15712,28805,84863,2020-04-14
132588,17150,30955,84483,2020-04-15
145166,17903,32812,94451,2020-04-16
147057,18664,34420,93973,2020-04-17
150863,19305,35983,95575,2020-04-18
151955,19694,36578,95683,2020-04-19
154402,20241,37409,96752,2020-04-20
157068,20769,39181,97118,2020-04-21
158868,21313,40657,96898,2020-04-22
157158,21829,42088,93241,2020-04-23
159969,22219,43493,94257,2020-04-24
161647,22588,44594,94465,2020-04-25
162280,22830,44903,94547,2020-04-26
165966,23267,45513,97186,2020-04-27
169098,23634,46886,98578,2020-04-28
167643,24060,48228,95355,2020-04-29
168861,24349,49476,95036,2020-04-30
169387,24566,50212,94609,2020-05-01
170179,24763,50663,94753,2020-05-02
170540,24898,50885,94757,2020-05-03
171102,25204,51476,94422,2020-05-04
172219,25537,52842,93840,2020-05-05
176355,25812,54079,96464,2020-05-06
177096,25991,55191,95914,2020-05-07
177627,26233,55892,95502,2020-05-08
178156,26313,56148,95695,2020-05-09
178405,26383,56327,95695,2020-05-10
178719,26646,56835,95238,2020-05-11
179472,26994,57898,94580,2020-05-12
179993,27079,58786,94128,2020-05-13
180635,27430,59719,93486,2020-05-14
181148,27532,60562,93054,2020-05-15
181563,27630,60562,93371,2020-05-16
181703,28113,61327,92263,2020-05-17
182147,28242,61843,92062,2020-05-18
182648,28025,62678,91945,2020-05-19
183130,28136,63472,91522,2020-05-20
183397,28218,63976,91203,2020-05-21
184153,28366,64327,91460,2020-05-22
184699,28452,64665,91582,2020-05-23
