Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
2,0,0,2,2020-03-06
8,0,0,8,2020-03-07
12,1,0,11,2020-03-08
12,1,0,11,2020-03-09
17,1,0,16,2020-03-10
19,1,0,18,2020-03-11
19,1,0,18,2020-03-12
31,2,0,29,2020-03-13
34,2,1,31,2020-03-14
45,2,1,42,2020-03-15
56,2,1,53,2020-03-16
68,2,3,63,2020-03-17
79,2,3,74,2020-03-18
97,3,3,91,2020-03-19
128,3,3,122,2020-03-20
158,4,3,151,2020-03-21
266,4,3,259,2020-03-22
301,4,3,294,2020-03-23
387,6,52,329,2020-03-24
387,8,52,327,2020-03-25
502,9,63,430,2020-03-26
589,13,72,504,2020-03-27
690,18,72,600,2020-03-28
745,19,72,654,2020-03-29
820,23,228,569,2020-03-30
1054,27,240,787,2020-03-31
1054,28,248,778,2020-04-01
1133,36,256,841,2020-04-02
1265,39,266,960,2020-04-03
1451,43,279,1129,2020-04-04
1451,44,280,1127,2020-04-05
1554,48,325,1181,2020-04-06
1628,56,338,1234,2020-04-07
1715,63,358,1294,2020-04-08
1795,72,365,1358,2020-04-09
1975,82,375,1518,2020-04-10
1975,83,440,1452,2020-04-11
2142,90,468,1584,2020-04-12
2208,97,515,1596,2020-04-13
2277,102,559,1616,2020-04-14
2443,111,596,1736,2020-04-15
2571,115,631,1825,2020-04-16
2669,123,666,1880,2020-04-17
2758,129,685,1944,2020-04-18
2839,132,709,1998,2020-04-19
2941,136,737,2068,2020-04-20
3031,147,840,2044,2020-04-21
3144,152,872,2120,2020-04-22
3435,165,919,2351,2020-04-23
3607,176,976,2455,2020-04-24
3780,185,1030,2565,2020-04-25
3892,192,1107,2593,2020-04-26
4003,197,1140,2666,2020-04-27
4127,207,1162,2758,2020-04-28
4285,214,1192,2879,2020-04-29
4428,218,1256,2954,2020-04-30
4532,225,1292,3015,2020-05-01
4681,237,1320,3124,2020-05-02
4783,246,1354,3183,2020-05-03
4887,260,1442,3185,2020-05-04
5020,264,1472,3284,2020-05-05
5208,273,1524,3411,2020-05-06
5371,282,1601,3488,2020-05-07
5611,293,1659,3659,2020-05-08
5776,300,1728,3748,2020-05-09
6034,305,1757,3972,2020-05-10
6278,314,1837,4127,2020-05-11
6563,319,1862,4382,2020-05-12
6879,329,2266,4284,2020-05-13
7134,353,2385,4396,2020-05-14
7479,356,2497,4626,2020-05-15
7805,363,2534,4908,2020-05-16
8068,373,2569,5126,2020-05-17
8371,382,2625,5364,2020-05-18
8809,393,2872,5544,2020-05-19
9283,403,2933,5947,2020-05-20
9931,416,3032,6483,2020-05-21
10649,433,3062,7154,2020-05-22
11353,445,3530,7378,2020-05-23
12076,452,3732,7892,2020-05-24
12628,467,3999,8162,2020-05-25
13228,484,4167,8577,2020-05-26
13933,500,4349,9084,2020-05-27
14702,508,4617,9577,2020-05-28
15419,520,4788,10111,2020-05-29
16214,528,4788,10898,2020-05-30
16851,539,5336,10976,2020-05-31
