Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
1,0,0,1,2020-03-20
2,0,0,2,2020-03-21
2,0,0,2,2020-03-22
3,0,0,3,2020-03-23
3,0,0,3,2020-03-24
3,0,0,3,2020-03-25
4,0,0,4,2020-03-26
4,0,0,4,2020-03-27
5,0,0,5,2020-03-28
7,2,0,5,2020-03-29
7,2,0,5,2020-03-30
7,2,1,4,2020-03-31
8,2,1,5,2020-04-01
8,2,1,5,2020-04-02
8,2,1,5,2020-04-03
10,2,2,6,2020-04-04
14,2,2,10,2020-04-05
16,2,2,12,2020-04-06
17,2,2,13,2020-04-07
19,2,2,15,2020-04-08
19,2,2,15,2020-04-09
19,2,2,15,2020-04-10
19,2,4,13,2020-04-11
19,2,4,13,2020-04-12
19,2,4,13,2020-04-13
19,2,5,12,2020-04-14
19,2,5,12,2020-04-15
19,2,5,12,2020-04-16
19,2,5,12,2020-04-17
24,2,6,16,2020-04-18
24,2,6,16,2020-04-19
24,2,6,16,2020-04-20
24,2,6,16,2020-04-21
25,2,6,17,2020-04-22
25,2,6,17,2020-04-23
25,2,6,17,2020-04-24
25,2,6,17,2020-04-25
26,2,6,18,2020-04-26
27,2,6,19,2020-04-27
27,2,6,19,2020-04-28
27,2,7,18,2020-04-29
27,2,7,18,2020-04-30
30,2,11,17,2020-05-01
35,2,11,22,2020-05-02
35,2,11,22,2020-05-03
35,2,11,22,2020-05-04
36,2,11,23,2020-05-05
36,2,11,23,2020-05-06
36,2,11,23,2020-05-07
43,2,11,30,2020-05-08
43,2,13,28,2020-05-09
45,2,13,30,2020-05-10
45,2,13,30,2020-05-11
45,2,13,30,2020-05-12
45,2,14,29,2020-05-13
48,2,14,32,2020-05-14
48,2,17,29,2020-05-15
48,2,17,29,2020-05-16
48,2,17,29,2020-05-17
50,3,17,30,2020-05-18
52,3,17,32,2020-05-19
52,3,17,32,2020-05-20
58,3,17,38,2020-05-21
60,3,17,40,2020-05-22
61,4,18,39,2020-05-23
69,4,18,47,2020-05-24
70,4,18,48,2020-05-25
70,4,18,48,2020-05-26
71,4,18,49,2020-05-27
74,4,18,52,2020-05-28
81,4,18,59,2020-05-29
84,4,18,62,2020-05-30
86,4,18,64,2020-05-31
86,4,18,64,2020-06-01
86,4,18,64,2020-06-02
86,4,18,64,2020-06-03
86,4,18,64,2020-06-04
86,4,21,61,2020-06-05
88,4,24,60,2020-06-06
91,4,24,63,2020-06-07
92,4,38,50,2020-06-08
96,4,38,54,2020-06-09
113,4,40,69,2020-06-10
118,5,41,72,2020-06-11
