Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
2,0,0,2,2020-03-08
2,0,0,2,2020-03-09
5,0,0,5,2020-03-10
7,0,0,7,2020-03-11
7,0,0,7,2020-03-12
16,0,0,16,2020-03-13
18,0,0,18,2020-03-14
18,0,0,18,2020-03-15
20,0,0,20,2020-03-16
24,0,0,24,2020-03-17
29,0,0,29,2020-03-18
39,1,0,38,2020-03-19
54,1,0,53,2020-03-20
60,1,0,59,2020-03-21
75,3,1,71,2020-03-22
89,3,1,85,2020-03-23
114,4,1,109,2020-03-24
173,5,2,166,2020-03-25
197,6,2,189,2020-03-26
227,6,2,219,2020-03-27
278,8,2,268,2020-03-28
312,8,2,302,2020-03-29
312,8,3,301,2020-03-30
394,10,3,381,2020-03-31
423,12,5,406,2020-04-01
455,14,5,436,2020-04-02
495,18,5,472,2020-04-03
553,18,5,530,2020-04-04
574,22,5,547,2020-04-05
596,22,5,569,2020-04-06
623,23,25,575,2020-04-07
628,24,25,579,2020-04-08
643,25,25,593,2020-04-09
671,25,25,621,2020-04-10
685,28,43,614,2020-04-11
707,31,43,633,2020-04-12
726,34,43,649,2020-04-13
747,34,43,670,2020-04-14
780,35,43,702,2020-04-15
822,37,43,742,2020-04-16
864,37,43,784,2020-04-17
864,37,43,784,2020-04-18
879,38,43,798,2020-04-19
884,38,148,698,2020-04-20
884,38,148,698,2020-04-21
909,38,190,681,2020-04-22
918,38,190,690,2020-04-23
922,38,194,690,2020-04-24
939,38,207,694,2020-04-25
949,38,216,695,2020-04-26
967,39,279,649,2020-04-27
975,40,279,656,2020-04-28
980,40,294,646,2020-04-29
994,41,305,648,2020-04-30
998,41,316,641,2020-05-01
1009,42,323,644,2020-05-02
1013,42,328,643,2020-05-03
1018,43,406,569,2020-05-04
1022,43,482,497,2020-05-05
1025,43,591,391,2020-05-06
1026,44,600,382,2020-05-07
1030,45,638,347,2020-05-08
1032,45,660,327,2020-05-09
1032,45,700,287,2020-05-10
1032,45,727,260,2020-05-11
1032,45,740,247,2020-05-12
1032,45,759,228,2020-05-13
1032,45,770,217,2020-05-14
1035,45,802,188,2020-05-15
1037,45,807,185,2020-05-16
1037,45,816,176,2020-05-17
1043,46,819,178,2020-05-18
1044,47,826,171,2020-05-19
1045,47,862,136,2020-05-20
1046,47,883,116,2020-05-21
1048,47,903,98,2020-05-22
1048,48,914,86,2020-05-23
1051,48,917,86,2020-05-24
1051,48,919,84,2020-05-25
1051,48,929,74,2020-05-26
1051,48,929,74,2020-05-27
1068,48,938,82,2020-05-28
1071,48,946,77,2020-05-29
1076,48,950,78,2020-05-30
1077,48,960,69,2020-05-31
1084,48,964,72,2020-06-01
1086,48,965,73,2020-06-02
1087,49,965,73,2020-06-03
1087,49,968,70,2020-06-04
1087,49,969,69,2020-06-05
1087,49,977,61,2020-06-06
1087,49,982,56,2020-06-07
1087,49,982,56,2020-06-08
