Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
2,0,0,2,2020-03-14
2,0,0,2,2020-03-15
2,0,0,2,2020-03-16
2,0,0,2,2020-03-17
2,0,0,2,2020-03-18
3,0,0,3,2020-03-19
3,0,0,3,2020-03-20
3,0,0,3,2020-03-21
3,0,0,3,2020-03-22
4,0,0,4,2020-03-23
7,0,2,5,2020-03-24
7,0,2,5,2020-03-25
8,0,2,6,2020-03-26
8,0,2,6,2020-03-27
8,0,2,6,2020-03-28
11,0,2,9,2020-03-29
11,0,2,9,2020-03-30
11,0,2,9,2020-03-31
14,0,2,12,2020-04-01
14,0,3,11,2020-04-02
14,0,3,11,2020-04-03
14,0,3,11,2020-04-04
16,0,3,13,2020-04-05
16,0,3,13,2020-04-06
16,0,3,13,2020-04-07
16,0,3,13,2020-04-08
16,0,3,13,2020-04-09
16,0,3,13,2020-04-10
16,0,3,13,2020-04-11
16,0,3,13,2020-04-12
16,0,3,13,2020-04-13
16,0,3,13,2020-04-14
16,0,3,13,2020-04-15
16,0,4,12,2020-04-16
16,0,4,12,2020-04-17
16,0,6,10,2020-04-18
16,0,6,10,2020-04-19
16,0,6,10,2020-04-20
16,0,6,10,2020-04-21
16,0,6,10,2020-04-22
16,0,7,9,2020-04-23
16,0,7,9,2020-04-24
16,0,7,9,2020-04-25
16,0,8,8,2020-04-26
16,0,8,8,2020-04-27
16,0,8,8,2020-04-28
16,0,8,8,2020-04-29
16,0,8,8,2020-04-30
16,0,8,8,2020-05-01
16,0,8,8,2020-05-02
16,0,8,8,2020-05-03
16,0,8,8,2020-05-04
16,0,8,8,2020-05-05
16,0,8,8,2020-05-06
16,0,9,7,2020-05-07
16,0,9,7,2020-05-08
16,0,10,6,2020-05-09
16,0,11,5,2020-05-10
16,0,11,5,2020-05-11
16,0,11,5,2020-05-12
16,0,11,5,2020-05-13
16,0,12,4,2020-05-14
16,0,13,3,2020-05-15
16,0,13,3,2020-05-16
16,0,13,3,2020-05-17
16,0,13,3,2020-05-18
16,0,13,3,2020-05-19
16,0,14,2,2020-05-20
18,0,14,4,2020-05-21
19,0,14,5,2020-05-22
20,0,14,6,2020-05-23
21,0,14,7,2020-05-24
21,0,14,7,2020-05-25
21,0,14,7,2020-05-26
22,0,14,8,2020-05-27
22,0,14,8,2020-05-28
23,0,14,9,2020-05-29
23,0,14,9,2020-05-30
24,0,14,10,2020-05-31
25,0,16,9,2020-06-01
25,0,16,9,2020-06-02
25,0,16,9,2020-06-03
25,0,16,9,2020-06-04
25,0,16,9,2020-06-05
29,0,16,13,2020-06-06
29,0,16,13,2020-06-07
31,0,16,15,2020-06-08
31,0,16,15,2020-06-09
31,0,17,14,2020-06-10
31,0,17,14,2020-06-11
