Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,1,0,0,2020-03-13
1,1,0,0,2020-03-14
1,1,0,0,2020-03-15
1,1,0,0,2020-03-16
1,1,0,0,2020-03-17
1,1,0,1,2020-03-18
1,1,0,1,2020-03-19
1,1,0,1,2020-03-20
2,1,0,1,2020-03-21
2,1,0,1,2020-03-22
2,1,0,1,2020-03-23
3,1,0,2,2020-03-24
3,1,0,2,2020-03-25
3,1,0,2,2020-03-26
3,1,0,2,2020-03-27
5,1,0,4,2020-03-28
5,1,0,5,2020-03-29
6,2,0,4,2020-03-30
7,2,1,4,2020-03-31
7,2,2,3,2020-04-01
7,2,2,4,2020-04-02
10,2,2,6,2020-04-03
10,2,2,6,2020-04-04
12,2,2,8,2020-04-05
12,2,2,8,2020-04-06
14,2,2,10,2020-04-07
14,2,2,10,2020-04-08
14,2,2,11,2020-04-09
15,2,2,13,2020-04-10
19,2,2,15,2020-04-11
19,2,2,15,2020-04-12
19,4,4,21,2020-04-13
29,5,4,23,2020-04-14
32,5,4,23,2020-04-15
32,5,4,23,2020-04-16
32,6,4,23,2020-04-17
66,10,6,50,2020-04-18
66,10,6,50,2020-04-19
92,12,8,87,2020-04-20
107,12,8,87,2020-04-21
140,13,12,115,2020-04-22
162,16,14,144,2020-04-23
174,16,14,144,2020-04-24
213,17,19,177,2020-04-25
237,21,20,196,2020-04-26
275,22,21,232,2020-04-27
318,25,31,262,2020-04-28
375,28,32,315,2020-04-29
375,31,39,372,2020-04-30
442,36,46,451,2020-05-01
533,41,52,499,2020-05-02
592,41,52,499,2020-05-03
678,41,61,576,2020-05-04
778,45,70,663,2020-05-05
852,49,80,723,2020-05-06
930,52,92,786,2020-05-07
930,59,102,950,2020-05-08
1111,64,119,981,2020-05-09
1164,70,149,1146,2020-05-10
1365,74,162,1290,2020-05-11
1526,80,173,1408,2020-05-12
1660,90,198,1530,2020-05-13
1818,90,198,1530,2020-05-14
1964,91,205,1668,2020-05-15
1964,97,222,1970,2020-05-16
2289,97,222,1970,2020-05-17
2591,105,247,2239,2020-05-18
2591,111,286,2331,2020-05-19
2728,111,286,2331,2020-05-20
3138,121,309,2708,2020-05-21
3138,137,372,2869,2020-05-22
3378,146,424,3058,2020-05-23
3634,165,458,3197,2020-05-24
3826,170,503,3303,2020-05-25
3976,170,503,3303,2020-05-26
4146,195,749,3402,2020-05-27
4346,195,749,3402,2020-05-28
4346,233,816,3472,2020-05-29
4521,262,1272,3266,2020-05-30
4800,286,1423,3317,2020-05-31
5026,298,1522,3353,2020-06-01
5173,307,1625,3378,2020-06-02
5310,314,1711,3474,2020-06-03
5499,333,1825,3556,2020-06-04
5714,347,1924,3594,2020-06-05
5866,359,2014,3708,2020-06-06
