Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
1,0,0,1,2020-03-01
1,0,0,1,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
2,0,0,2,2020-03-06
2,0,0,2,2020-03-07
5,0,0,5,2020-03-08
5,0,0,5,2020-03-09
5,0,0,5,2020-03-10
5,0,0,5,2020-03-11
5,0,0,5,2020-03-12
5,0,0,5,2020-03-13
11,0,0,11,2020-03-14
11,0,0,11,2020-03-15
11,0,0,11,2020-03-16
21,1,0,20,2020-03-17
21,1,0,20,2020-03-18
34,2,0,32,2020-03-19
72,2,0,70,2020-03-20
112,2,0,110,2020-03-21
202,3,0,199,2020-03-22
245,3,0,242,2020-03-23
312,6,3,303,2020-03-24
392,10,3,379,2020-03-25
488,10,3,475,2020-03-26
581,20,3,558,2020-03-27
719,28,3,688,2020-03-28
859,39,3,817,2020-03-29
901,42,4,855,2020-03-30
1109,51,5,1053,2020-03-31
1284,57,9,1218,2020-04-01
1380,60,16,1304,2020-04-02
1488,68,16,1404,2020-04-03
1488,68,16,1404,2020-04-04
1745,82,17,1646,2020-04-05
1828,86,33,1709,2020-04-06
1956,98,36,1822,2020-04-07
2111,108,50,1953,2020-04-08
2349,118,80,2151,2020-04-09
2620,126,98,2396,2020-04-10
2759,135,108,2516,2020-04-11
2967,173,131,2663,2020-04-12
3167,177,152,2838,2020-04-13
3286,183,162,2941,2020-04-14
3614,189,208,3217,2020-04-15
3755,196,215,3344,2020-04-16
4126,200,268,3658,2020-04-17
4335,217,312,3806,2020-04-18
4680,226,363,4091,2020-04-19
4964,235,416,4313,2020-04-20
5044,245,463,4336,2020-04-21
5300,260,581,4459,2020-04-22
5543,265,581,4697,2020-04-23
5749,267,763,4719,2020-04-24
5926,273,822,4831,2020-04-25
6135,278,910,4947,2020-04-26
6293,282,993,5018,2020-04-27
6416,286,1165,4965,2020-04-28
6652,293,1228,5131,2020-04-29
6972,301,1301,5370,2020-04-30
7288,313,1387,5588,2020-05-01
7578,326,1481,5771,2020-05-02
7954,333,1606,6015,2020-05-03
8235,346,1771,6118,2020-05-04
8480,354,1905,6221,2020-05-05
8807,362,1960,6485,2020-05-06
9095,373,2064,6658,2020-05-07
9376,380,2286,6710,2020-05-08
9882,385,2584,6913,2020-05-09
10347,388,2763,7196,2020-05-10
10634,393,2870,7371,2020-05-11
10900,402,3221,7277,2020-05-12
11196,409,3221,7566,2020-05-13
11320,422,3351,7547,2020-05-14
11739,424,3557,7758,2020-05-15
12110,428,3726,7956,2020-05-16
12314,428,5847,6039,2020-05-17
12725,434,6613,5678,2020-05-18
13223,441,6613,6169,2020-05-19
13477,446,7142,5889,2020-05-20
13657,448,7366,5843,2020-05-21
13989,456,7572,5961,2020-05-22
14422,458,7854,6110,2020-05-23
14801,458,8133,6210,2020-05-24
15073,460,8285,6328,2020-05-25
15264,468,8534,6262,2020-05-26
15723,474,8790,6459,2020-05-27
16068,485,8952,6631,2020-05-28
16531,488,9266,6777,2020-05-29
16908,498,9557,6853,2020-05-30
17285,502,10559,6224,2020-05-31
