Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
1,0,0,1,2020-03-16
1,0,0,1,2020-03-17
1,0,0,1,2020-03-18
1,0,0,1,2020-03-19
1,0,0,1,2020-03-20
1,0,0,1,2020-03-21
1,0,0,1,2020-03-22
1,0,0,1,2020-03-23
1,0,0,1,2020-03-24
1,0,0,1,2020-03-25
2,0,0,2,2020-03-26
3,0,0,3,2020-03-27
3,0,0,3,2020-03-28
3,0,0,3,2020-03-29
3,0,0,3,2020-03-30
5,0,1,4,2020-03-31
5,0,1,4,2020-04-01
5,0,1,4,2020-04-02
7,0,1,6,2020-04-03
7,0,1,6,2020-04-04
7,0,1,6,2020-04-05
7,0,1,6,2020-04-06
8,0,1,7,2020-04-07
12,1,1,10,2020-04-08
12,1,1,10,2020-04-09
21,1,1,19,2020-04-10
21,1,1,19,2020-04-11
25,1,2,22,2020-04-12
60,2,2,56,2020-04-13
60,2,2,56,2020-04-14
80,5,2,73,2020-04-15
80,5,2,73,2020-04-16
116,6,2,108,2020-04-17
135,7,2,126,2020-04-18
164,7,3,154,2020-04-19
237,8,4,225,2020-04-20
286,8,4,274,2020-04-21
286,8,4,274,2020-04-22
328,16,8,304,2020-04-23
328,16,8,304,2020-04-24
390,18,8,364,2020-04-25
436,23,10,403,2020-04-26
480,26,10,444,2020-04-27
528,28,19,481,2020-04-28
582,28,20,534,2020-04-29
601,28,31,542,2020-04-30
601,28,31,542,2020-05-01
671,31,34,606,2020-05-02
722,32,44,646,2020-05-03
756,35,61,660,2020-05-04
835,38,75,722,2020-05-05
873,39,87,747,2020-05-06
928,44,106,778,2020-05-07
928,44,106,778,2020-05-08
997,48,110,839,2020-05-09
1054,51,118,885,2020-05-10
1089,52,121,916,2020-05-11
1170,52,126,992,2020-05-12
1219,52,130,1037,2020-05-13
1284,53,135,1096,2020-05-14
1284,53,135,1096,2020-05-15
1357,55,148,1154,2020-05-16
1421,56,152,1213,2020-05-17
1455,57,163,1235,2020-05-18
1502,59,178,1265,2020-05-19
1573,61,188,1324,2020-05-20
1594,61,204,1329,2020-05-21
1594,61,204,1329,2020-05-22
1594,61,204,1329,2020-05-23
1594,61,204,1329,2020-05-24
1689,66,235,1388,2020-05-25
1711,67,253,1391,2020-05-26
1731,67,265,1399,2020-05-27
1828,72,310,1446,2020-05-28
1828,72,310,1446,2020-05-29
1916,73,327,1516,2020-05-30
1976,78,348,1550,2020-05-31
2023,79,361,1583,2020-06-01
2089,79,361,1649,2020-06-02
2146,79,406,1661,2020-06-03
2204,79,418,1707,2020-06-04
2204,79,418,1707,2020-06-05
2289,82,431,1776,2020-06-06
2334,83,441,1810,2020-06-07
