Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
1,0,0,1,2020-01-27
1,0,0,1,2020-01-28
1,0,0,1,2020-01-29
1,0,0,1,2020-01-30
1,0,0,1,2020-01-31
1,0,0,1,2020-02-01
1,0,0,1,2020-02-02
1,0,0,1,2020-02-03
1,0,0,1,2020-02-04
1,0,0,1,2020-02-05
1,0,0,1,2020-02-06
1,0,0,1,2020-02-07
1,0,0,1,2020-02-08
1,0,0,1,2020-02-09
1,0,0,1,2020-02-10
1,0,0,1,2020-02-11
1,0,1,0,2020-02-12
1,0,1,0,2020-02-13
1,0,1,0,2020-02-14
1,0,1,0,2020-02-15
1,0,1,0,2020-02-16
1,0,1,0,2020-02-17
1,0,1,0,2020-02-18
1,0,1,0,2020-02-19
1,0,1,0,2020-02-20
1,0,1,0,2020-02-21
1,0,1,0,2020-02-22
1,0,1,0,2020-02-23
1,0,1,0,2020-02-24
1,0,1,0,2020-02-25
1,0,1,0,2020-02-26
1,0,1,0,2020-02-27
1,0,1,0,2020-02-28
1,0,1,0,2020-02-29
1,0,1,0,2020-03-01
1,0,1,0,2020-03-02
1,0,1,0,2020-03-03
1,0,1,0,2020-03-04
1,0,1,0,2020-03-05
1,0,1,0,2020-03-06
1,0,1,0,2020-03-07
2,0,1,1,2020-03-08
2,0,1,1,2020-03-09
2,0,1,1,2020-03-10
3,0,1,2,2020-03-11
3,0,1,2,2020-03-12
5,0,1,4,2020-03-13
7,0,1,6,2020-03-14
7,0,1,6,2020-03-15
7,0,1,6,2020-03-16
33,0,1,32,2020-03-17
35,0,1,34,2020-03-18
37,0,1,36,2020-03-19
51,0,1,50,2020-03-20
53,0,1,52,2020-03-21
84,0,1,83,2020-03-22
87,0,1,86,2020-03-23
91,0,4,87,2020-03-24
96,0,10,86,2020-03-25
96,0,10,86,2020-03-26
99,0,11,88,2020-03-27
99,0,13,86,2020-03-28
103,0,21,82,2020-03-29
107,0,21,86,2020-03-30
109,0,23,86,2020-03-31
109,0,25,84,2020-04-01
110,0,34,76,2020-04-02
114,0,35,79,2020-04-03
114,0,50,64,2020-04-04
114,0,50,64,2020-04-05
114,0,53,61,2020-04-06
115,0,58,57,2020-04-07
117,0,63,54,2020-04-08
119,0,62,57,2020-04-09
119,0,72,47,2020-04-10
120,0,75,45,2020-04-11
122,0,77,45,2020-04-12
122,0,77,45,2020-04-13
122,0,91,31,2020-04-14
122,0,96,26,2020-04-15
122,0,98,24,2020-04-16
122,0,98,24,2020-04-17
122,0,103,19,2020-04-18
122,0,105,17,2020-04-19
122,0,107,15,2020-04-20
122,0,110,12,2020-04-21
122,0,110,12,2020-04-22
122,0,110,12,2020-04-23
122,0,117,5,2020-04-24
122,0,117,5,2020-04-25
122,0,117,5,2020-04-26
122,0,119,3,2020-04-27
122,0,119,3,2020-04-28
122,0,119,3,2020-04-29
122,0,119,3,2020-04-30
122,0,120,2,2020-05-01
122,0,120,2,2020-05-02
122,0,120,2,2020-05-03
122,0,120,2,2020-05-04
122,0,120,2,2020-05-05
122,0,120,2,2020-05-06
122,0,120,2,2020-05-07
122,0,120,2,2020-05-08
122,0,120,2,2020-05-09
122,0,120,2,2020-05-10
122,0,121,1,2020-05-11
122,0,121,1,2020-05-12
122,0,121,1,2020-05-13
122,0,121,1,2020-05-14
122,0,122,0,2020-05-15
122,0,122,0,2020-05-16
122,0,122,0,2020-05-17
122,0,122,0,2020-05-18
122,0,122,0,2020-05-19
122,0,122,0,2020-05-20
123,0,122,1,2020-05-21
123,0,122,1,2020-05-22
124,0,122,2,2020-05-23
124,0,122,2,2020-05-24
124,0,122,2,2020-05-25
124,0,122,2,2020-05-26
124,0,122,2,2020-05-27
124,0,122,2,2020-05-28
124,0,122,2,2020-05-29
125,0,123,2,2020-05-30
125,0,123,2,2020-05-31
125,0,123,2,2020-06-01
125,0,123,2,2020-06-02
125,0,123,2,2020-06-03
125,0,123,2,2020-06-04
125,0,123,2,2020-06-05
125,0,123,2,2020-06-06
126,0,123,3,2020-06-07
126,0,123,3,2020-06-08
126,0,125,1,2020-06-09
126,0,125,1,2020-06-10
126,0,125,1,2020-06-11
