Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
3,0,0,3,2020-03-08
3,0,0,3,2020-03-09
3,0,0,3,2020-03-10
3,0,0,3,2020-03-11
3,0,0,3,2020-03-12
3,0,0,3,2020-03-13
3,0,0,3,2020-03-14
5,0,0,5,2020-03-15
8,0,2,6,2020-03-16
10,0,3,7,2020-03-17
14,1,3,10,2020-03-18
17,1,3,13,2020-03-19
20,1,3,16,2020-03-20
25,2,3,20,2020-03-21
27,2,3,22,2020-03-22
33,3,3,27,2020-03-23
39,4,5,30,2020-03-24
39,5,7,27,2020-03-25
44,5,11,28,2020-03-26
48,5,11,32,2020-03-27
48,5,15,28,2020-03-28
48,5,15,28,2020-03-29
49,5,19,25,2020-03-30
51,5,25,21,2020-03-31
54,6,25,23,2020-04-01
56,6,25,25,2020-04-02
61,6,26,29,2020-04-03
70,8,30,32,2020-04-04
88,9,33,46,2020-04-05
123,12,33,78,2020-04-06
164,17,33,114,2020-04-07
218,20,33,165,2020-04-08
330,21,33,276,2020-04-09
424,27,33,364,2020-04-10
482,30,36,416,2020-04-11
621,34,39,548,2020-04-12
803,39,42,722,2020-04-13
1012,46,42,924,2020-04-14
1231,50,49,1132,2020-04-15
1572,60,49,1463,2020-04-16
1838,75,58,1705,2020-04-17
2144,84,66,1994,2020-04-18
2456,91,75,2290,2020-04-19
2948,101,85,2762,2020-04-20
3382,110,87,3185,2020-04-21
3772,120,92,3560,2020-04-22
4186,127,108,3951,2020-04-23
4689,131,112,4446,2020-04-24
4998,140,113,4745,2020-04-25
5416,145,122,5149,2020-04-26
5913,152,131,5630,2020-04-27
6462,155,139,6168,2020-04-28
7103,163,150,6790,2020-04-29
7667,168,160,7339,2020-04-30
8238,170,174,7894,2020-05-01
8790,175,177,8438,2020-05-02
9455,177,1063,8215,2020-05-03
10143,182,1209,8752,2020-05-04
10929,183,1403,9343,2020-05-05
11719,186,1403,10130,2020-05-06
12425,199,1910,10316,2020-05-07
13134,206,2101,10827,2020-05-08
13770,214,2414,11142,2020-05-09
14657,228,2650,11779,2020-05-10
15691,239,2902,12550,2020-05-11
16660,250,3147,13263,2020-05-12
17822,269,3361,14192,2020-05-13
18863,283,3361,15219,2020-05-14
20065,298,3882,15885,2020-05-15
20995,314,4117,16564,2020-05-16
22268,328,4373,17567,2020-05-17
23870,349,4585,18936,2020-05-18
25121,370,4993,19758,2020-05-19
26738,386,5207,21145,2020-05-20
28511,408,5602,22501,2020-05-21
30205,432,6190,23583,2020-05-22
32078,452,6486,25140,2020-05-23
33610,480,6901,26229,2020-05-24
35585,501,7334,27750,2020-05-25
36751,522,7579,28650,2020-05-26
38292,544,7925,29823,2020-05-27
40321,559,8425,31337,2020-05-28
42844,582,9015,33247,2020-05-29
44608,610,9375,34623,2020-05-30
47153,650,9781,36722,2020-05-31
49534,672,10597,38265,2020-06-01
52445,709,11120,40616,2020-06-02
