Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
2,0,0,2,2020-03-11
2,0,0,2,2020-03-12
3,0,0,3,2020-03-13
10,0,0,10,2020-03-14
10,0,0,10,2020-03-15
11,0,0,11,2020-03-16
11,0,0,11,2020-03-17
12,0,0,12,2020-03-18
12,0,0,12,2020-03-19
15,0,0,15,2020-03-20
19,0,0,19,2020-03-21
24,0,0,24,2020-03-22
27,0,0,27,2020-03-23
29,0,0,29,2020-03-24
32,0,0,32,2020-03-25
43,0,0,43,2020-03-26
61,0,0,61,2020-03-27
74,0,0,74,2020-03-28
81,1,0,80,2020-03-29
97,4,0,93,2020-03-30
107,6,0,101,2020-03-31
115,7,1,107,2020-04-01
123,8,1,114,2020-04-02
132,9,1,122,2020-04-03
139,10,1,128,2020-04-04
157,10,2,145,2020-04-05
183,11,2,170,2020-04-06
194,14,2,178,2020-04-07
210,15,2,193,2020-04-08
264,18,2,244,2020-04-09
268,19,2,247,2020-04-10
275,20,2,253,2020-04-11
300,24,2,274,2020-04-12
330,27,2,301,2020-04-13
354,28,6,320,2020-04-14
397,28,7,362,2020-04-15
441,29,14,398,2020-04-16
465,31,26,408,2020-04-17
493,31,31,431,2020-04-18
520,32,31,457,2020-04-19
564,33,31,500,2020-04-20
598,34,37,527,2020-04-21
609,37,44,528,2020-04-22
703,43,44,616,2020-04-23
807,44,54,709,2020-04-24
866,46,54,766,2020-04-25
950,50,80,820,2020-04-26
1014,53,98,863,2020-04-27
1053,55,110,888,2020-04-28
1110,59,117,934,2020-04-29
1167,62,132,973,2020-04-30
1229,66,134,1029,2020-05-01
1470,71,159,1240,2020-05-02
1594,76,166,1352,2020-05-03
1681,82,174,1425,2020-05-04
1802,86,187,1529,2020-05-05
1886,91,198,1597,2020-05-06
2081,102,219,1760,2020-05-07
2266,106,237,1923,2020-05-08
2437,114,258,2065,2020-05-09
2556,118,273,2165,2020-05-10
2831,122,299,2410,2020-05-11
2964,128,313,2523,2020-05-12
3148,142,339,2667,2020-05-13
3372,152,356,2864,2020-05-14
3577,164,434,2979,2020-05-15
3826,165,473,3188,2020-05-16
4088,169,493,3426,2020-05-17
4263,174,503,3586,2020-05-18
4481,189,533,3759,2020-05-19
4919,199,553,4167,2020-05-20
5187,215,561,4411,2020-05-21
5579,230,575,4774,2020-05-22
5915,240,609,5066,2020-05-23
6263,250,629,5384,2020-05-24
6660,261,647,5752,2020-05-25
7136,274,677,6185,2020-05-26
7768,280,689,6799,2020-05-27
8387,293,738,7356,2020-05-28
8731,300,749,7682,2020-05-29
9592,310,889,8393,2020-05-30
9982,313,968,8701,2020-05-31
10531,343,1137,9051,2020-06-01
10991,376,1298,9317,2020-06-02
11638,400,1507,9731,2020-06-03
12245,415,1658,10172,2020-06-04
12728,427,1739,10562,2020-06-05
