Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
1,0,0,1,2020-03-08
1,0,0,1,2020-03-09
1,0,0,1,2020-03-10
1,0,0,1,2020-03-11
1,0,0,1,2020-03-12
1,0,1,0,2020-03-13
1,0,1,0,2020-03-14
8,0,1,7,2020-03-15
17,0,1,16,2020-03-16
34,0,1,33,2020-03-17
52,0,1,51,2020-03-18
69,0,1,68,2020-03-19
85,0,1,84,2020-03-20
85,0,1,84,2020-03-21
112,0,1,111,2020-03-22
127,0,1,126,2020-03-23
154,0,1,153,2020-03-24
172,0,1,171,2020-03-25
212,0,1,211,2020-03-26
235,1,18,216,2020-03-27
246,1,18,227,2020-03-28
259,3,18,238,2020-03-29
268,5,26,237,2020-03-30
274,5,30,239,2020-03-31
278,5,36,237,2020-04-01
299,5,45,249,2020-04-02
310,5,58,247,2020-04-03
323,5,74,244,2020-04-04
345,5,110,230,2020-04-05
349,6,126,217,2020-04-06
353,6,138,209,2020-04-07
358,6,150,202,2020-04-08
372,7,161,204,2020-04-09
372,7,170,195,2020-04-10
381,7,177,197,2020-04-11
389,7,201,181,2020-04-12
391,7,215,169,2020-04-13
397,7,235,155,2020-04-14
401,7,250,144,2020-04-15
402,7,259,136,2020-04-16
407,7,265,135,2020-04-17
413,7,269,137,2020-04-18
417,7,276,134,2020-04-19
425,7,282,136,2020-04-20
428,7,297,124,2020-04-21
435,7,315,113,2020-04-22
437,7,318,112,2020-04-23
441,7,326,108,2020-04-24
444,7,332,105,2020-04-25
447,7,337,103,2020-04-26
449,7,342,100,2020-04-27
449,8,348,93,2020-04-28
451,8,356,87,2020-04-29
453,8,362,83,2020-04-30
459,8,364,87,2020-05-01
460,9,367,84,2020-05-02
461,9,367,85,2020-05-03
465,9,370,86,2020-05-04
471,9,375,87,2020-05-05
473,9,377,87,2020-05-06
494,9,381,104,2020-05-07
508,9,385,114,2020-05-08
522,9,387,126,2020-05-09
540,9,389,142,2020-05-10
562,9,390,163,2020-05-11
576,9,390,177,2020-05-12
582,9,392,181,2020-05-13
586,9,393,184,2020-05-14
596,9,401,186,2020-05-15
607,9,404,194,2020-05-16
613,9,408,196,2020-05-17
629,9,413,207,2020-05-18
649,9,417,223,2020-05-19
672,9,446,217,2020-05-20
684,9,457,218,2020-05-21
700,9,461,230,2020-05-22
704,9,470,225,2020-05-23
708,9,471,228,2020-05-24
711,9,479,223,2020-05-25
718,9,586,123,2020-05-26
720,9,586,125,2020-05-27
728,9,497,222,2020-05-28
730,9,507,214,2020-05-29
734,9,507,218,2020-05-30
739,9,522,208,2020-05-31
746,9,535,202,2020-06-01
755,9,549,197,2020-06-02
757,9,561,187,2020-06-03
765,9,566,190,2020-06-04
784,9,571,204,2020-06-05
795,9,586,200,2020-06-06
808,9,607,192,2020-06-07
831,9,627,195,2020-06-08
845,9,657,179,2020-06-09
863,9,663,191,2020-06-10
890,9,670,211,2020-06-11
