Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
3,0,0,3,2020-03-18
3,0,0,3,2020-03-19
12,0,0,12,2020-03-20
14,1,0,13,2020-03-21
28,2,0,26,2020-03-22
36,2,0,34,2020-03-23
42,2,0,40,2020-03-24
48,2,0,46,2020-03-25
81,2,0,79,2020-03-26
94,2,0,92,2020-03-27
102,2,0,100,2020-03-28
107,3,0,104,2020-03-29
128,3,0,125,2020-03-30
143,5,0,138,2020-03-31
161,6,0,155,2020-04-01
169,7,0,162,2020-04-02
186,7,0,179,2020-04-03
196,7,7,182,2020-04-04
227,7,7,213,2020-04-05
244,7,7,230,2020-04-06
268,7,8,253,2020-04-07
273,7,19,247,2020-04-08
314,7,23,284,2020-04-09
318,9,23,286,2020-04-10
319,9,28,282,2020-04-11
324,9,42,273,2020-04-12
324,9,42,273,2020-04-13
324,9,51,264,2020-04-14
324,9,65,250,2020-04-15
324,9,81,234,2020-04-16
324,9,108,207,2020-04-17
325,9,180,136,2020-04-18
328,9,208,111,2020-04-19
328,9,224,95,2020-04-20
328,9,243,76,2020-04-21
329,9,261,59,2020-04-22
331,9,266,56,2020-04-23
331,9,285,37,2020-04-24
331,9,295,27,2020-04-25
332,9,299,24,2020-04-26
334,10,302,22,2020-04-27
334,10,303,21,2020-04-28
332,10,306,16,2020-04-29
332,10,310,12,2020-04-30
332,10,312,10,2020-05-01
332,10,314,8,2020-05-02
332,10,315,7,2020-05-03
332,10,316,6,2020-05-04
332,10,319,3,2020-05-05
332,10,320,2,2020-05-06
332,10,320,2,2020-05-07
332,10,320,2,2020-05-08
332,10,320,2,2020-05-09
332,10,320,2,2020-05-10
332,10,322,0,2020-05-11
332,10,322,0,2020-05-12
332,10,322,0,2020-05-13
332,10,322,0,2020-05-14
332,10,322,0,2020-05-15
332,10,322,0,2020-05-16
332,10,322,0,2020-05-17
332,10,322,0,2020-05-18
332,10,322,0,2020-05-19
332,10,322,0,2020-05-20
332,10,322,0,2020-05-21
332,10,322,0,2020-05-22
332,10,322,0,2020-05-23
334,10,322,2,2020-05-24
334,10,322,2,2020-05-25
334,10,322,2,2020-05-26
334,10,322,2,2020-05-27
334,10,322,2,2020-05-28
335,10,322,3,2020-05-29
335,10,322,3,2020-05-30
335,10,322,3,2020-05-31
335,10,322,3,2020-06-01
335,10,322,3,2020-06-02
335,10,322,3,2020-06-03
335,10,322,3,2020-06-04
337,10,324,3,2020-06-05
337,10,324,3,2020-06-06
337,10,324,3,2020-06-07
337,10,324,3,2020-06-08
337,10,324,3,2020-06-09
337,10,325,2,2020-06-10
337,10,325,2,2020-06-11
