Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
1,0,0,1,2020-03-20
1,0,0,1,2020-03-21
2,0,0,2,2020-03-22
3,0,0,3,2020-03-23
3,0,0,3,2020-03-24
7,1,0,6,2020-03-25
10,1,0,9,2020-03-26
10,1,0,9,2020-03-27
10,1,0,9,2020-03-28
18,1,0,17,2020-03-29
27,3,0,24,2020-03-30
27,3,0,24,2020-03-31
74,5,0,69,2020-04-01
98,5,0,93,2020-04-02
120,5,0,115,2020-04-03
144,8,0,136,2020-04-04
184,10,13,161,2020-04-05
253,10,26,217,2020-04-06
278,11,26,241,2020-04-07
342,11,28,303,2020-04-08
410,11,40,359,2020-04-09
438,11,41,386,2020-04-10
491,11,41,439,2020-04-11
529,12,75,442,2020-04-12
529,12,75,442,2020-04-13
570,14,90,466,2020-04-14
584,14,90,480,2020-04-15
584,14,90,480,2020-04-16
627,18,110,499,2020-04-17
639,19,113,507,2020-04-18
648,20,117,511,2020-04-19
648,20,117,511,2020-04-20
657,20,127,510,2020-04-21
662,22,193,447,2020-04-22
671,24,256,391,2020-04-23
681,24,289,368,2020-04-24
684,27,325,332,2020-04-25
696,29,350,317,2020-04-26
701,29,385,287,2020-04-27
709,31,403,275,2020-04-28
713,32,435,246,2020-04-29
719,32,452,235,2020-04-30
728,33,478,217,2020-05-01
736,35,507,194,2020-05-02
750,36,518,196,2020-05-03
755,37,534,184,2020-05-04
763,38,543,182,2020-05-05
770,38,561,171,2020-05-06
781,42,586,153,2020-05-07
795,44,600,151,2020-05-08
815,45,617,153,2020-05-09
821,46,624,151,2020-05-10
832,46,637,149,2020-05-11
854,47,648,159,2020-05-12
860,49,658,153,2020-05-13
876,50,677,149,2020-05-14
885,51,684,150,2020-05-15
889,51,689,149,2020-05-16
904,54,698,152,2020-05-17
909,55,714,140,2020-05-18
914,55,734,125,2020-05-19
920,58,738,124,2020-05-20
924,60,753,111,2020-05-21
937,60,764,113,2020-05-22
943,61,775,107,2020-05-23
945,61,783,101,2020-05-24
951,62,786,103,2020-05-25
952,63,796,93,2020-05-26
952,63,796,93,2020-05-27
955,64,803,88,2020-05-28
955,64,813,78,2020-05-29
956,64,818,74,2020-05-30
958,64,839,55,2020-05-31
958,65,844,49,2020-06-01
960,65,848,47,2020-06-02
961,65,857,39,2020-06-03
963,65,860,38,2020-06-04
966,65,863,38,2020-06-05
970,65,867,38,2020-06-06
973,65,867,41,2020-06-07
973,65,869,39,2020-06-08
974,65,871,38,2020-06-09
974,65,876,33,2020-06-10
974,65,878,31,2020-06-11
