Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
1,0,0,1,2020-03-24
1,0,0,1,2020-03-25
1,0,0,1,2020-03-26
1,0,0,1,2020-03-27
3,0,0,3,2020-03-28
8,0,0,8,2020-03-29
8,0,0,8,2020-03-30
10,0,1,9,2020-03-31
10,0,0,10,2020-04-01
11,1,0,10,2020-04-02
11,1,0,10,2020-04-03
18,1,0,17,2020-04-04
18,1,0,17,2020-04-05
19,1,1,17,2020-04-06
20,1,1,18,2020-04-07
21,1,8,12,2020-04-08
24,1,8,15,2020-04-09
24,1,8,15,2020-04-10
24,1,8,15,2020-04-11
25,1,9,15,2020-04-12
26,1,9,16,2020-04-13
35,1,9,25,2020-04-14
48,1,9,38,2020-04-15
49,1,11,37,2020-04-16
49,1,11,37,2020-04-17
49,1,11,37,2020-04-18
51,1,11,39,2020-04-19
51,1,15,35,2020-04-20
51,1,15,35,2020-04-21
59,1,15,43,2020-04-22
60,2,15,43,2020-04-23
61,2,18,41,2020-04-24
61,2,18,41,2020-04-25
61,2,18,41,2020-04-26
61,2,18,41,2020-04-27
61,2,18,41,2020-04-28
61,2,18,41,2020-04-29
61,3,18,40,2020-04-30
63,3,18,42,2020-05-01
63,3,22,38,2020-05-02
63,3,22,38,2020-05-03
63,3,23,37,2020-05-04
63,3,23,37,2020-05-05
64,3,24,37,2020-05-06
64,3,24,37,2020-05-07
64,3,24,37,2020-05-08
64,3,24,37,2020-05-09
64,3,24,37,2020-05-10
64,3,28,33,2020-05-11
64,3,28,33,2020-05-12
64,3,28,33,2020-05-13
64,3,28,33,2020-05-14
64,3,28,33,2020-05-15
65,3,28,34,2020-05-16
65,3,35,27,2020-05-17
65,3,35,27,2020-05-18
68,3,35,30,2020-05-19
69,3,35,31,2020-05-20
71,3,35,33,2020-05-21
72,3,38,31,2020-05-22
75,3,39,33,2020-05-23
75,3,39,33,2020-05-24
75,3,40,32,2020-05-25
77,3,40,34,2020-05-26
99,4,40,55,2020-05-27
105,5,41,59,2020-05-28
118,5,41,72,2020-05-29
130,5,50,75,2020-05-30
156,5,52,99,2020-05-31
168,5,52,111,2020-06-01
182,5,52,125,2020-06-02
196,5,52,139,2020-06-03
209,5,52,152,2020-06-04
239,5,52,182,2020-06-05
256,5,52,199,2020-06-06
256,5,52,199,2020-06-07
332,5,57,270,2020-06-08
359,5,58,296,2020-06-09
378,5,59,314,2020-06-10
393,5,59,329,2020-06-11
