Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
4,0,0,4,2020-01-29
4,0,0,4,2020-01-30
4,0,0,4,2020-01-31
4,0,0,4,2020-02-01
5,0,0,5,2020-02-02
5,0,0,5,2020-02-03
5,0,0,5,2020-02-04
5,0,0,5,2020-02-05
5,0,0,5,2020-02-06
5,0,0,5,2020-02-07
7,0,0,7,2020-02-08
7,0,0,7,2020-02-09
8,0,0,8,2020-02-10
8,0,0,8,2020-02-11
8,0,1,7,2020-02-12
8,0,1,7,2020-02-13
8,0,1,7,2020-02-14
8,0,3,5,2020-02-15
9,0,4,5,2020-02-16
9,0,4,5,2020-02-17
9,0,4,5,2020-02-18
9,0,4,5,2020-02-19
9,0,4,5,2020-02-20
9,0,4,5,2020-02-21
13,0,4,9,2020-02-22
13,0,4,9,2020-02-23
13,0,4,9,2020-02-24
13,0,4,9,2020-02-25
13,0,4,9,2020-02-26
13,0,4,9,2020-02-27
19,0,5,14,2020-02-28
21,0,5,16,2020-02-29
21,0,5,16,2020-03-01
21,0,5,16,2020-03-02
27,0,5,22,2020-03-03
27,0,5,22,2020-03-04
29,0,5,24,2020-03-05
29,0,5,24,2020-03-06
45,0,7,38,2020-03-07
45,0,7,38,2020-03-08
45,0,7,38,2020-03-09
74,0,12,62,2020-03-10
74,0,17,57,2020-03-11
85,0,17,68,2020-03-12
85,0,17,68,2020-03-13
85,0,17,68,2020-03-14
98,0,23,75,2020-03-15
98,0,23,75,2020-03-16
98,0,23,75,2020-03-17
113,0,26,87,2020-03-18
140,0,31,109,2020-03-19
140,2,31,107,2020-03-20
153,2,38,113,2020-03-21
153,2,38,113,2020-03-22
198,2,38,158,2020-03-23
248,2,45,201,2020-03-24
333,2,52,279,2020-03-25
333,2,52,279,2020-03-26
405,2,52,351,2020-03-27
468,2,52,414,2020-03-28
570,3,58,509,2020-03-29
611,5,61,545,2020-03-30
664,6,61,597,2020-03-31
814,8,61,745,2020-04-01
1024,8,96,920,2020-04-02
1264,9,108,1147,2020-04-03
1505,10,125,1370,2020-04-04
1799,10,144,1645,2020-04-05
2076,11,167,1898,2020-04-06
2359,12,186,2161,2020-04-07
2659,12,239,2408,2020-04-08
2990,14,268,2708,2020-04-09
3360,16,418,2926,2020-04-10
3736,20,588,3128,2020-04-11
4123,22,680,3421,2020-04-12
4521,25,852,3644,2020-04-13
4933,28,933,3972,2020-04-14
5365,33,1034,4298,2020-04-15
5825,35,1095,4695,2020-04-16
6302,37,1188,5077,2020-04-17
6302,37,1188,5077,2020-04-18
6781,41,1286,5454,2020-04-19
7265,43,1360,5862,2020-04-20
7755,46,1443,6266,2020-04-21
8238,52,1546,6640,2020-04-22
8756,56,1637,7063,2020-04-23
9281,64,1760,7457,2020-04-24
9813,71,1887,7855,2020-04-25
10349,76,1978,8295,2020-04-26
10839,82,2090,8667,2020-04-27
11380,89,2181,9110,2020-04-28
11929,98,2329,9502,2020-04-29
12481,105,2429,9947,2020-04-30
13038,111,2543,10384,2020-05-01
13599,119,2664,10816,2020-05-02
14163,126,2763,11274,2020-05-03
14730,137,2966,11627,2020-05-04
15192,146,3153,11893,2020-05-05
15738,157,3359,12222,2020-05-06
16240,165,3572,12503,2020-05-07
16793,174,3837,12782,2020-05-08
17417,185,4295,12937,2020-05-09
18198,198,4804,13196,2020-05-10
18878,201,5381,13296,2020-05-11
19661,203,6012,13446,2020-05-12
20386,206,6523,13657,2020-05-13
21084,208,6930,13946,2020-05-14
21831,210,7328,14293,2020-05-15
22627,214,7931,14482,2020-05-16
23358,220,8512,14626,2020-05-17
24190,224,9577,14389,2020-05-18
25063,227,10791,14045,2020-05-19
26004,233,11809,13962,2020-05-20
26898,237,12755,13906,2020-05-21
27892,241,13798,13853,2020-05-22
28704,244,14495,13965,2020-05-23
29485,245,15056,14184,2020-05-24
30307,248,15657,14402,2020-05-25
31086,253,15982,14851,2020-05-26
31969,255,16371,15343,2020-05-27
32532,258,16685,15589,2020-05-28
33170,260,17097,15813,2020-05-29
33896,262,17546,16088,2020-05-30
34557,264,17932,16361,2020-05-31
