Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
0,0,0,0,2020-03-25
0,0,0,0,2020-03-26
0,0,0,0,2020-03-27
0,0,0,0,2020-03-28
0,0,0,0,2020-03-29
0,0,0,0,2020-03-30
1,0,0,1,2020-03-31
2,0,0,2,2020-04-01
2,0,0,2,2020-04-02
2,0,0,2,2020-04-03
4,0,0,4,2020-04-04
6,0,0,6,2020-04-05
6,0,0,6,2020-04-06
6,0,0,6,2020-04-07
7,0,0,7,2020-04-08
7,0,0,7,2020-04-09
8,0,0,8,2020-04-10
8,0,0,8,2020-04-11
10,0,0,10,2020-04-12
10,0,0,10,2020-04-13
11,0,0,11,2020-04-14
13,0,0,13,2020-04-15
15,0,0,15,2020-04-16
26,0,0,26,2020-04-17
30,0,0,30,2020-04-18
35,0,6,29,2020-04-19
43,0,6,37,2020-04-20
50,0,6,44,2020-04-21
61,0,6,55,2020-04-22
64,1,10,53,2020-04-23
82,2,10,70,2020-04-24
82,2,10,70,2020-04-25
93,4,10,79,2020-04-26
93,4,10,79,2020-04-27
104,4,12,88,2020-04-28
104,4,12,88,2020-04-29
124,7,21,96,2020-04-30
136,7,21,108,2020-05-01
155,8,21,126,2020-05-02
166,8,29,129,2020-05-03
178,9,37,132,2020-05-04
199,11,43,145,2020-05-05
225,14,54,157,2020-05-06
231,16,54,161,2020-05-07
257,17,54,186,2020-05-08
291,18,58,215,2020-05-09
307,18,67,222,2020-05-10
338,19,72,247,2020-05-11
338,19,72,247,2020-05-12
387,26,97,264,2020-05-13
408,26,97,285,2020-05-14
447,27,97,323,2020-05-15
462,29,106,327,2020-05-16
505,32,141,332,2020-05-17
519,33,148,338,2020-05-18
534,33,167,334,2020-05-19
570,34,205,331,2020-05-20
585,35,205,345,2020-05-21
606,38,230,338,2020-05-22
621,39,241,341,2020-05-23
707,40,241,426,2020-05-24
735,42,293,400,2020-05-25
754,44,297,413,2020-05-26
782,45,297,440,2020-05-27
812,45,361,406,2020-05-28
829,45,386,398,2020-05-29
852,46,415,391,2020-05-30
861,46,454,361,2020-05-31
865,46,475,344,2020-06-01
896,46,480,370,2020-06-02
909,47,491,371,2020-06-03
914,47,491,376,2020-06-04
929,47,580,302,2020-06-05
946,48,600,298,2020-06-06
969,48,608,313,2020-06-07
1001,49,611,341,2020-06-08
1025,50,621,354,2020-06-09
1062,50,637,375,2020-06-10
1085,50,642,393,2020-06-11
