Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
1,0,0,1,2020-03-16
1,0,0,1,2020-03-17
2,0,0,2,2020-03-18
2,0,0,2,2020-03-19
2,0,0,2,2020-03-20
3,0,0,3,2020-03-21
3,0,0,3,2020-03-22
3,0,0,3,2020-03-23
3,0,0,3,2020-03-24
3,0,0,3,2020-03-25
3,0,0,3,2020-03-26
3,0,0,3,2020-03-27
3,0,0,3,2020-03-28
3,0,0,3,2020-03-29
3,0,0,3,2020-03-30
3,0,0,3,2020-03-31
6,0,0,6,2020-04-01
6,0,0,6,2020-04-02
7,0,0,7,2020-04-03
10,1,3,6,2020-04-04
13,3,3,7,2020-04-05
14,3,3,8,2020-04-06
14,3,3,8,2020-04-07
31,4,3,24,2020-04-08
31,4,3,24,2020-04-09
37,5,3,29,2020-04-10
48,5,3,40,2020-04-11
50,5,3,42,2020-04-12
59,6,4,49,2020-04-13
59,6,4,49,2020-04-14
59,6,4,49,2020-04-15
59,6,4,49,2020-04-16
76,7,7,62,2020-04-17
76,7,7,62,2020-04-18
91,8,7,76,2020-04-19
99,8,7,84,2020-04-20
101,8,7,86,2020-04-21
101,8,20,73,2020-04-22
101,8,20,73,2020-04-23
117,8,25,84,2020-04-24
120,11,25,84,2020-04-25
124,12,25,87,2020-04-26
124,12,25,87,2020-04-27
141,16,45,80,2020-04-28
141,16,45,80,2020-04-29
141,16,45,80,2020-04-30
152,18,45,89,2020-05-01
154,18,48,88,2020-05-02
158,18,58,82,2020-05-03
166,18,58,90,2020-05-04
170,20,58,92,2020-05-05
178,20,75,83,2020-05-06
189,20,79,90,2020-05-07
199,20,79,100,2020-05-08
199,20,79,100,2020-05-09
199,20,79,100,2020-05-10
211,20,85,106,2020-05-11
211,20,85,106,2020-05-12
213,20,101,92,2020-05-13
215,20,105,90,2020-05-14
219,20,108,91,2020-05-15
223,20,116,87,2020-05-16
226,21,120,85,2020-05-17
229,22,123,84,2020-05-18
233,23,125,85,2020-05-19
238,23,128,87,2020-05-20
240,23,131,86,2020-05-21
249,24,136,89,2020-05-22
255,26,136,93,2020-05-23
265,26,139,100,2020-05-24
265,26,141,98,2020-05-25
266,26,144,96,2020-05-26
266,27,144,95,2020-05-27
269,27,144,98,2020-05-28
273,27,146,100,2020-05-29
280,27,148,105,2020-05-30
288,27,157,104,2020-05-31
296,27,159,110,2020-06-01
311,28,167,116,2020-06-02
316,28,169,119,2020-06-03
321,28,175,118,2020-06-04
334,30,176,128,2020-06-05
345,30,185,130,2020-06-06
359,30,194,135,2020-06-07
370,30,195,145,2020-06-08
383,31,199,153,2020-06-09
397,31,200,166,2020-06-10
410,31,206,173,2020-06-11
