Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
1,0,0,1,2020-02-28
1,0,0,1,2020-02-29
1,0,0,1,2020-03-01
1,0,0,1,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
1,0,0,1,2020-03-08
2,0,0,2,2020-03-09
2,0,0,2,2020-03-10
2,0,0,2,2020-03-11
2,0,0,2,2020-03-12
2,0,0,2,2020-03-13
2,0,0,2,2020-03-14
2,0,0,2,2020-03-15
2,0,0,2,2020-03-16
3,0,0,3,2020-03-17
8,0,1,7,2020-03-18
8,0,1,7,2020-03-19
12,0,1,11,2020-03-20
22,0,1,21,2020-03-21
30,0,2,28,2020-03-22
40,1,2,37,2020-03-23
44,1,2,41,2020-03-24
51,1,2,48,2020-03-25
65,1,2,62,2020-03-26
70,1,3,66,2020-03-27
89,1,3,85,2020-03-28
111,1,3,107,2020-03-29
131,2,8,121,2020-03-30
135,2,8,125,2020-03-31
174,2,9,163,2020-04-01
184,2,20,162,2020-04-02
210,4,25,181,2020-04-03
214,4,25,185,2020-04-04
232,5,33,194,2020-04-05
238,5,35,198,2020-04-06
254,6,44,204,2020-04-07
276,6,44,226,2020-04-08
288,7,51,230,2020-04-09
305,7,58,240,2020-04-10
318,10,70,238,2020-04-11
323,10,85,228,2020-04-12
343,10,91,242,2020-04-13
373,11,99,263,2020-04-14
407,12,128,267,2020-04-15
442,13,152,277,2020-04-16
493,17,159,317,2020-04-17
542,19,166,357,2020-04-18
627,21,170,436,2020-04-19
665,22,188,455,2020-04-20
665,22,188,455,2020-04-21
873,28,197,648,2020-04-22
981,31,197,753,2020-04-23
1095,32,208,855,2020-04-24
1182,35,222,925,2020-04-25
1273,40,239,994,2020-04-26
1337,40,255,1042,2020-04-27
1532,44,255,1233,2020-04-28
1728,51,307,1370,2020-04-29
1932,58,319,1555,2020-04-30
2170,68,351,1751,2020-05-01
2388,85,351,1952,2020-05-02
2558,87,400,2071,2020-05-03
2802,93,417,2292,2020-05-04
2950,98,481,2371,2020-05-05
3145,103,534,2508,2020-05-06
3526,107,601,2818,2020-05-07
3912,117,679,3116,2020-05-08
4151,128,745,3278,2020-05-09
4399,143,778,3478,2020-05-10
4641,150,902,3589,2020-05-11
4787,158,959,3670,2020-05-12
4971,164,1070,3737,2020-05-13
5162,167,1180,3815,2020-05-14
5450,171,1320,3959,2020-05-15
5621,176,1472,3973,2020-05-16
5959,182,1594,4183,2020-05-17
6175,191,1644,4340,2020-05-18
6401,192,1734,4475,2020-05-19
6677,200,1840,4637,2020-05-20
7016,211,1907,4898,2020-05-21
7261,221,2007,5033,2020-05-22
7526,221,2174,5131,2020-05-23
7839,226,2263,5350,2020-05-24
8068,233,2311,5524,2020-05-25
8344,249,2385,5710,2020-05-26
8733,254,2501,5978,2020-05-27
8915,259,2592,6064,2020-05-28
9302,261,2697,6344,2020-05-29
9855,273,2856,6726,2020-05-30
10162,287,3007,6868,2020-05-31
10578,299,3122,7157,2020-06-01
10819,314,3240,7265,2020-06-02
11166,315,3329,7522,2020-06-03
11516,323,3535,7658,2020-06-04
