Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
1,0,0,1,2020-03-10
2,0,0,2,2020-03-11
2,0,0,2,2020-03-12
2,0,0,2,2020-03-13
2,0,0,2,2020-03-14
3,0,0,3,2020-03-15
15,0,0,15,2020-03-16
15,0,0,15,2020-03-17
20,1,0,19,2020-03-18
33,1,0,32,2020-03-19
40,1,0,39,2020-03-20
64,2,5,57,2020-03-21
75,4,5,66,2020-03-22
99,4,5,90,2020-03-23
114,4,7,103,2020-03-24
146,4,10,132,2020-03-25
152,7,10,135,2020-03-26
180,9,12,159,2020-03-27
207,11,21,175,2020-03-28
222,12,23,187,2020-03-29
246,12,31,203,2020-03-30
261,14,32,215,2020-03-31
282,16,46,220,2020-04-01
288,16,50,222,2020-04-02
302,16,50,236,2020-04-03
318,16,66,236,2020-04-04
345,17,90,238,2020-04-05
364,18,108,238,2020-04-06
384,19,127,238,2020-04-07
414,23,134,257,2020-04-08
443,24,146,273,2020-04-09
443,24,146,273,2020-04-10
484,27,155,302,2020-04-11
497,27,161,309,2020-04-12
497,27,161,309,2020-04-13
528,30,177,321,2020-04-14
542,32,226,284,2020-04-15
546,32,257,257,2020-04-16
557,35,294,228,2020-04-17
565,36,321,208,2020-04-18
576,36,338,202,2020-04-19
581,38,357,186,2020-04-20
600,38,362,200,2020-04-21
609,39,389,181,2020-04-22
616,41,410,165,2020-04-23
629,41,425,163,2020-04-24
629,41,442,146,2020-04-25
632,42,453,137,2020-04-26
635,42,469,124,2020-04-27
638,42,476,120,2020-04-28
641,43,498,100,2020-04-29
645,43,506,96,2020-04-30
649,44,517,88,2020-05-01
652,44,535,73,2020-05-02
662,45,540,77,2020-05-03
672,46,545,81,2020-05-04
688,48,548,92,2020-05-05
729,48,555,126,2020-05-06
736,48,562,126,2020-05-07
744,48,566,130,2020-05-08
748,48,569,131,2020-05-09
751,49,577,125,2020-05-10
760,50,584,126,2020-05-11
766,51,588,127,2020-05-12
773,51,592,130,2020-05-13
773,51,592,130,2020-05-14
780,51,595,134,2020-05-15
782,51,604,127,2020-05-16
796,51,644,101,2020-05-17
796,51,652,93,2020-05-18
796,51,652,93,2020-05-19
809,52,661,96,2020-05-20
812,52,669,91,2020-05-21
814,52,672,90,2020-05-22
814,52,672,90,2020-05-23
814,52,672,90,2020-05-24
832,52,672,108,2020-05-25
832,52,672,108,2020-05-26
845,53,672,120,2020-05-27
847,53,719,75,2020-05-28
847,53,720,74,2020-05-29
847,53,720,74,2020-05-30
847,53,720,74,2020-05-31
847,53,720,74,2020-06-01
881,53,720,108,2020-06-02
884,53,753,78,2020-06-03
885,53,760,72,2020-06-04
888,53,760,75,2020-06-05
888,53,765,70,2020-06-06
889,53,765,71,2020-06-07
890,53,765,72,2020-06-08
891,53,765,73,2020-06-09
891,53,765,73,2020-06-10
892,53,790,49,2020-06-11
