Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
1,0,0,1,2020-03-08
1,0,0,1,2020-03-09
1,0,0,1,2020-03-10
1,0,0,1,2020-03-11
1,0,0,1,2020-03-12
1,0,0,1,2020-03-13
1,0,0,1,2020-03-14
1,0,0,1,2020-03-15
1,0,0,1,2020-03-16
1,0,0,1,2020-03-17
1,0,0,1,2020-03-18
1,0,0,1,2020-03-19
9,0,1,8,2020-03-20
16,0,1,15,2020-03-21
16,0,1,15,2020-03-22
18,0,1,17,2020-03-23
20,0,1,19,2020-03-24
23,0,1,22,2020-03-25
23,0,1,22,2020-03-26
25,1,1,23,2020-03-27
25,1,1,23,2020-03-28
25,1,1,23,2020-03-29
30,1,1,28,2020-03-30
34,1,10,23,2020-03-31
36,2,10,24,2020-04-01
39,2,17,20,2020-04-02
40,3,17,20,2020-04-03
41,3,17,21,2020-04-04
44,3,20,21,2020-04-05
58,3,23,32,2020-04-06
65,3,23,39,2020-04-07
70,3,23,44,2020-04-08
73,3,24,46,2020-04-09
76,3,25,48,2020-04-10
76,3,25,48,2020-04-11
76,3,29,44,2020-04-12
77,3,29,45,2020-04-13
77,3,32,42,2020-04-14
81,3,35,43,2020-04-15
81,5,45,31,2020-04-16
83,5,48,30,2020-04-17
84,5,49,30,2020-04-18
84,5,52,27,2020-04-19
84,6,53,25,2020-04-20
86,6,56,24,2020-04-21
88,6,56,26,2020-04-22
88,6,59,23,2020-04-23
90,6,59,25,2020-04-24
96,6,62,28,2020-04-25
98,6,62,30,2020-04-26
98,6,62,30,2020-04-27
99,6,63,30,2020-04-28
109,7,64,38,2020-04-29
116,9,65,42,2020-04-30
123,9,66,48,2020-05-01
123,9,66,48,2020-05-02
124,9,67,48,2020-05-03
126,9,74,43,2020-05-04
128,9,74,45,2020-05-05
128,9,77,42,2020-05-06
135,9,85,41,2020-05-07
145,10,85,50,2020-05-08
153,10,87,56,2020-05-09
174,11,89,74,2020-05-10
181,11,89,81,2020-05-11
199,11,92,96,2020-05-12
219,11,96,112,2020-05-13
238,11,96,131,2020-05-14
263,11,96,156,2020-05-15
298,11,99,188,2020-05-16
301,11,104,186,2020-05-17
330,12,106,212,2020-05-18
338,12,107,219,2020-05-19
340,12,110,218,2020-05-20
354,12,118,224,2020-05-21
363,12,121,230,2020-05-22
373,12,133,228,2020-05-23
381,12,141,228,2020-05-24
386,13,161,212,2020-05-25
391,13,177,201,2020-05-26
395,13,183,199,2020-05-27
422,13,197,212,2020-05-28
428,13,202,213,2020-05-29
433,13,206,214,2020-05-30
442,13,211,218,2020-05-31
443,13,215,215,2020-06-01
445,13,230,202,2020-06-02
452,13,236,203,2020-06-03
465,13,239,213,2020-06-04
485,13,240,232,2020-06-05
487,13,240,234,2020-06-06
495,13,248,234,2020-06-07
497,13,251,233,2020-06-08
501,13,260,228,2020-06-09
522,13,265,244,2020-06-10
524,13,271,240,2020-06-11
