Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
1,0,0,1,2020-02-26
1,0,0,1,2020-02-27
6,0,0,6,2020-02-28
15,0,0,15,2020-02-29
19,0,0,19,2020-03-01
25,0,0,25,2020-03-02
32,0,0,32,2020-03-03
56,0,0,56,2020-03-04
87,0,0,87,2020-03-05
108,0,0,108,2020-03-06
147,0,0,147,2020-03-07
176,0,0,176,2020-03-08
205,0,1,204,2020-03-09
400,0,1,399,2020-03-10
598,0,1,597,2020-03-11
702,0,1,701,2020-03-12
996,0,1,995,2020-03-13
1090,3,1,1086,2020-03-14
1221,3,1,1217,2020-03-15
1333,3,1,1329,2020-03-16
1463,3,1,1459,2020-03-17
1550,6,1,1543,2020-03-18
1746,7,1,1738,2020-03-19
1914,7,1,1906,2020-03-20
2118,7,1,2110,2020-03-21
2385,7,1,2377,2020-03-22
2621,10,1,2610,2020-03-23
2863,12,6,2845,2020-03-24
3084,14,6,3064,2020-03-25
3369,14,6,3349,2020-03-26
3755,19,6,3730,2020-03-27
4015,23,7,3985,2020-03-28
4284,25,7,4252,2020-03-29
4445,32,12,4401,2020-03-30
4641,39,13,4589,2020-03-31
4863,44,13,4806,2020-04-01
5147,50,32,5065,2020-04-02
5370,59,32,5279,2020-04-03
5550,62,32,5456,2020-04-04
5687,71,32,5584,2020-04-05
5865,76,32,5757,2020-04-06
6086,89,32,5965,2020-04-07
6086,101,32,5953,2020-04-08
6211,108,32,6071,2020-04-09
6314,113,32,6169,2020-04-10
6409,119,32,6258,2020-04-11
6525,128,32,6365,2020-04-12
6603,134,32,6437,2020-04-13
6623,139,32,6452,2020-04-14
6740,150,32,6558,2020-04-15
6896,152,32,6712,2020-04-16
6937,161,32,6744,2020-04-17
7036,164,32,6840,2020-04-18
7078,165,32,6881,2020-04-19
7156,181,32,6943,2020-04-20
7191,182,32,6977,2020-04-21
7338,187,32,7119,2020-04-22
7401,194,32,7175,2020-04-23
7463,199,32,7232,2020-04-24
7499,201,32,7266,2020-04-25
7527,201,32,7294,2020-04-26
7599,205,32,7362,2020-04-27
7660,206,32,7422,2020-04-28
7710,207,32,7471,2020-04-29
7738,210,32,7496,2020-04-30
7783,210,32,7541,2020-05-01
7809,211,32,7566,2020-05-02
7847,211,32,7604,2020-05-03
7904,214,32,7658,2020-05-04
7955,215,32,7708,2020-05-05
7996,216,32,7748,2020-05-06
8034,217,32,7785,2020-05-07
8070,218,32,7820,2020-05-08
8099,219,32,7848,2020-05-09
8105,219,32,7854,2020-05-10
8132,224,32,7876,2020-05-11
8157,228,32,7897,2020-05-12
8175,229,32,7914,2020-05-13
8196,232,32,7932,2020-05-14
8219,232,32,7955,2020-05-15
8237,232,32,7973,2020-05-16
8249,232,32,7985,2020-05-17
8257,233,32,7992,2020-05-18
8267,233,32,8002,2020-05-19
8281,234,32,8015,2020-05-20
8309,235,32,8042,2020-05-21
8332,235,7727,370,2020-05-22
8346,235,7727,384,2020-05-23
8352,235,7727,390,2020-05-24
8364,235,7727,402,2020-05-25
8383,235,7727,421,2020-05-26
8401,235,7727,439,2020-05-27
8411,236,7727,448,2020-05-28
8422,236,7727,459,2020-05-29
8437,236,7727,474,2020-05-30
8440,236,7727,477,2020-05-31
