Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
1,0,0,1,2020-03-19
1,0,0,1,2020-03-20
1,0,0,1,2020-03-21
1,0,0,1,2020-03-22
1,0,0,1,2020-03-23
3,0,0,3,2020-03-24
3,0,0,3,2020-03-25
3,0,0,3,2020-03-26
3,0,0,3,2020-03-27
3,0,0,3,2020-03-28
3,0,0,3,2020-03-29
5,0,0,5,2020-03-30
7,0,0,7,2020-03-31
7,0,0,7,2020-04-01
8,0,0,8,2020-04-02
8,0,0,8,2020-04-03
9,0,0,9,2020-04-04
9,0,0,9,2020-04-05
9,0,0,9,2020-04-06
10,0,2,8,2020-04-07
10,0,2,8,2020-04-08
11,0,2,9,2020-04-09
11,0,2,9,2020-04-10
11,0,2,9,2020-04-11
18,0,2,16,2020-04-12
23,0,2,21,2020-04-13
23,0,2,21,2020-04-14
23,0,2,21,2020-04-15
27,0,5,22,2020-04-16
27,0,5,22,2020-04-17
33,0,8,25,2020-04-18
33,0,8,25,2020-04-19
33,0,8,25,2020-04-20
33,0,8,25,2020-04-21
33,0,8,25,2020-04-22
33,0,8,25,2020-04-23
40,0,8,32,2020-04-24
46,0,15,31,2020-04-25
46,0,15,31,2020-04-26
46,0,15,31,2020-04-27
52,2,19,31,2020-04-28
52,2,19,31,2020-04-29
73,5,33,35,2020-04-30
73,5,33,35,2020-05-01
117,10,39,68,2020-05-02
117,10,39,68,2020-05-03
117,10,39,68,2020-05-04
170,17,43,110,2020-05-05
170,17,43,110,2020-05-06
253,27,50,176,2020-05-07
260,28,50,182,2020-05-08
322,31,53,238,2020-05-09
322,31,53,238,2020-05-10
322,31,53,238,2020-05-11
357,40,76,241,2020-05-12
372,42,78,252,2020-05-13
399,46,83,270,2020-05-14
428,48,88,292,2020-05-15
474,50,111,313,2020-05-16
503,53,117,333,2020-05-17
519,53,117,349,2020-05-18
545,56,139,350,2020-05-19
565,57,177,331,2020-05-20
588,58,186,344,2020-05-21
611,58,196,357,2020-05-22
648,60,204,384,2020-05-23
675,60,215,400,2020-05-24
687,61,244,382,2020-05-25
700,62,303,335,2020-05-26
715,64,359,292,2020-05-27
726,65,413,248,2020-05-28
759,65,444,250,2020-05-29
759,65,470,224,2020-05-30
778,65,491,222,2020-05-31
790,66,539,185,2020-06-01
803,66,562,175,2020-06-02
820,66,590,164,2020-06-03
828,66,633,129,2020-06-04
836,68,657,111,2020-06-05
836,69,672,95,2020-06-06
837,69,672,96,2020-06-07
839,70,685,84,2020-06-08
844,71,706,67,2020-06-09
846,72,706,68,2020-06-10
848,72,706,70,2020-06-11
