Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
1,0,0,1,2020-03-08
1,0,0,1,2020-03-09
3,0,0,3,2020-03-10
9,0,0,9,2020-03-11
9,0,0,9,2020-03-12
13,0,0,13,2020-03-13
22,0,0,22,2020-03-14
34,0,0,34,2020-03-15
57,0,0,57,2020-03-16
75,0,1,74,2020-03-17
102,0,1,101,2020-03-18
108,0,1,107,2020-03-19
158,0,1,157,2020-03-20
196,0,1,195,2020-03-21
231,2,3,226,2020-03-22
277,3,3,271,2020-03-23
378,3,6,369,2020-03-24
470,4,8,458,2020-03-25
491,6,8,477,2020-03-26
539,6,10,523,2020-03-27
608,6,10,592,2020-03-28
702,10,10,682,2020-03-29
798,12,15,771,2020-03-30
906,16,31,859,2020-03-31
1065,17,39,1009,2020-04-01
1161,19,55,1087,2020-04-02
1267,25,55,1187,2020-04-03
1406,32,85,1289,2020-04-04
1485,35,88,1362,2020-04-05
1579,46,88,1445,2020-04-06
1780,50,100,1630,2020-04-07
2054,54,123,1877,2020-04-08
2223,69,174,1980,2020-04-09
2473,80,197,2196,2020-04-10
2709,100,214,2395,2020-04-11
2776,109,270,2397,2020-04-12
2852,112,319,2421,2020-04-13
2979,127,354,2498,2020-04-14
3105,131,452,2522,2020-04-15
3233,144,550,2539,2020-04-16
3439,153,634,2652,2020-04-17
3621,166,634,2821,2020-04-18
3792,179,711,2902,2020-04-19
3977,189,804,2984,2020-04-20
4149,196,804,3149,2020-04-21
4356,206,870,3280,2020-04-22
4561,215,927,3419,2020-04-23
4881,225,1003,3653,2020-04-24
5142,233,1067,3842,2020-04-25
5379,244,1133,4002,2020-04-26
5597,253,1210,4134,2020-04-27
5949,269,1268,4412,2020-04-28
6207,278,1411,4518,2020-04-29
6507,293,1439,4775,2020-04-30
7006,314,1551,5141,2020-05-01
7285,324,1666,5295,2020-05-02
7668,340,1722,5606,2020-05-03
7973,358,1807,5808,2020-05-04
8613,378,2013,6222,2020-05-05
8959,397,2148,6414,2020-05-06
9456,407,2300,6749,2020-05-07
10051,428,2424,7199,2020-05-08
10495,445,2569,7481,2020-05-09
11063,463,2705,7895,2020-05-10
11613,479,2825,8309,2020-05-11
12272,493,2971,8808,2020-05-12
12930,509,3133,9288,2020-05-13
13610,525,3358,9727,2020-05-14
14216,546,3460,10210,2020-05-15
14939,562,3587,10790,2020-05-16
15574,574,3751,11249,2020-05-17
16295,592,3903,11800,2020-05-18
16935,613,4050,12272,2020-05-19
17687,630,4256,12801,2020-05-20
18330,652,4431,13247,2020-05-21
19131,682,4575,13874,2020-05-22
20177,705,4718,14754,2020-05-23
21175,727,5016,15432,2020-05-24
21981,750,5265,15966,2020-05-25
23003,776,5511,16716,2020-05-26
24104,803,6111,17190,2020-05-27
25366,822,6132,18412,2020-05-28
26688,853,6687,19148,2020-05-29
28236,890,6935,20411,2020-05-30
29383,939,7032,21412,2020-05-31
