Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
2,0,0,2,2020-03-11
2,0,0,2,2020-03-12
2,0,0,2,2020-03-13
2,0,0,2,2020-03-14
3,0,0,3,2020-03-15
6,0,0,6,2020-03-16
8,0,0,8,2020-03-17
9,0,0,9,2020-03-18
12,0,0,12,2020-03-19
24,0,0,24,2020-03-20
24,0,0,24,2020-03-21
26,0,0,26,2020-03-22
30,0,0,30,2020-03-23
30,0,0,30,2020-03-24
36,0,0,36,2020-03-25
52,1,0,51,2020-03-26
68,1,0,67,2020-03-27
95,1,3,91,2020-03-28
110,3,3,104,2020-03-29
139,7,3,129,2020-03-30
141,7,3,131,2020-03-31
172,10,3,159,2020-04-01
219,14,3,202,2020-04-02
222,15,3,204,2020-04-03
264,15,3,246,2020-04-04
268,22,6,240,2020-04-05
298,22,6,270,2020-04-06
305,22,6,277,2020-04-07
312,22,6,284,2020-04-08
343,23,6,314,2020-04-09
382,23,7,352,2020-04-10
392,24,7,361,2020-04-11
393,25,7,361,2020-04-12
397,25,7,365,2020-04-13
407,26,7,374,2020-04-14
419,31,9,379,2020-04-15
426,35,9,382,2020-04-16
442,41,10,391,2020-04-17
457,46,10,401,2020-04-18
472,46,15,411,2020-04-19
477,46,25,406,2020-04-20
494,46,29,419,2020-04-21
510,46,30,434,2020-04-22
519,47,31,441,2020-04-23
591,55,58,478,2020-04-24
627,59,65,503,2020-04-25
627,59,65,503,2020-04-26
661,61,79,521,2020-04-27
702,64,79,559,2020-04-28
738,66,73,599,2020-04-29
771,71,79,621,2020-04-30
804,75,112,617,2020-05-01
1010,76,116,818,2020-05-02
1055,82,118,855,2020-05-03
1178,83,122,973,2020-05-04
1270,93,122,1055,2020-05-05
1461,99,132,1230,2020-05-06
1685,105,154,1426,2020-05-07
1771,107,192,1472,2020-05-08
1830,108,195,1527,2020-05-09
1972,108,203,1661,2020-05-10
2100,116,206,1778,2020-05-11
2080,121,211,1748,2020-05-12
2255,123,237,1895,2020-05-13
2318,133,253,1932,2020-05-14
2460,134,264,2062,2020-05-15
2565,138,278,2149,2020-05-16
2646,142,319,2185,2020-05-17
2798,146,340,2312,2020-05-18
2955,147,349,2459,2020-05-19
2955,147,349,2459,2020-05-20
3204,156,397,2651,2020-05-21
3477,167,439,2871,2020-05-22
3477,167,439,2871,2020-05-23
3950,180,468,3302,2020-05-24
4189,182,473,3534,2020-05-25
4401,188,493,3720,2020-05-26
4640,194,506,3940,2020-05-27
4752,196,519,4037,2020-05-28
4752,196,519,4037,2020-05-29
5094,201,536,4357,2020-05-30
5202,212,537,4453,2020-05-31
5362,217,549,4596,2020-06-01
5527,225,563,4739,2020-06-02
5690,234,617,4839,2020-06-03
5880,243,648,4989,2020-06-04
5971,248,677,5046,2020-06-05
6155,250,697,5208,2020-06-06
