Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
1,0,0,1,2020-01-26
1,0,0,1,2020-01-27
2,0,0,2,2020-01-28
2,0,0,2,2020-01-29
2,0,0,2,2020-01-30
4,0,0,4,2020-01-31
4,0,0,4,2020-02-01
4,0,0,4,2020-02-02
4,0,0,4,2020-02-03
4,0,0,4,2020-02-04
5,0,0,5,2020-02-05
5,0,0,5,2020-02-06
7,0,0,7,2020-02-07
7,0,0,7,2020-02-08
7,0,0,7,2020-02-09
7,0,0,7,2020-02-10
7,0,0,7,2020-02-11
7,0,1,6,2020-02-12
7,0,1,6,2020-02-13
7,0,1,6,2020-02-14
7,0,1,6,2020-02-15
7,0,1,6,2020-02-16
8,0,1,7,2020-02-17
8,0,1,7,2020-02-18
8,0,1,7,2020-02-19
8,0,1,7,2020-02-20
9,0,3,6,2020-02-21
9,0,3,6,2020-02-22
9,0,3,6,2020-02-23
10,0,3,7,2020-02-24
11,0,3,8,2020-02-25
11,0,3,8,2020-02-26
13,0,6,7,2020-02-27
14,0,6,8,2020-02-28
20,0,6,14,2020-02-29
24,0,6,18,2020-03-01
27,0,6,21,2020-03-02
30,0,6,24,2020-03-03
33,0,6,27,2020-03-04
37,0,6,31,2020-03-05
48,0,6,42,2020-03-06
52,0,8,44,2020-03-07
60,0,8,52,2020-03-08
70,1,8,61,2020-03-09
72,1,8,63,2020-03-10
89,1,8,80,2020-03-11
98,1,8,89,2020-03-12
162,1,8,153,2020-03-13
167,1,8,158,2020-03-14
211,1,8,202,2020-03-15
357,4,9,344,2020-03-16
396,6,9,381,2020-03-17
551,11,9,531,2020-03-18
672,11,9,652,2020-03-19
787,14,9,764,2020-03-20
1072,18,10,1044,2020-03-21
1197,20,10,1167,2020-03-22
1774,27,10,1737,2020-03-23
2418,31,110,2277,2020-03-24
2880,39,183,2658,2020-03-25
3543,54,184,3305,2020-03-26
4127,63,256,3808,2020-03-27
5021,79,466,4476,2020-03-28
5646,93,466,5087,2020-03-29
6724,121,466,6137,2020-03-30
7824,143,1592,6089,2020-03-31
8793,165,1324,7304,2020-04-01
10302,210,1735,8357,2020-04-02
11455,263,2175,9017,2020-04-03
11890,341,2577,8972,2020-04-04
14562,414,3012,11136,2020-04-05
15300,496,3256,11548,2020-04-06
16486,556,3791,12139,2020-04-07
17755,621,4154,12980,2020-04-08
19218,741,5162,13315,2020-04-09
20595,834,5855,13906,2020-04-10
21736,945,6589,14202,2020-04-11
22719,1054,7123,14542,2020-04-12
23935,1178,7758,14999,2020-04-13
25152,1312,8210,15630,2020-04-14
26326,1466,8966,15894,2020-04-15
28800,1669,9698,17433,2020-04-16
30404,1793,10545,18066,2020-04-17
31781,1935,10964,18882,2020-04-18
32817,2093,11847,18877,2020-04-19
34737,2231,12543,19963,2020-04-20
36294,2422,13188,20684,2020-04-21
38249,2612,14454,21183,2020-04-22
39566,2781,14761,22024,2020-04-23
40889,2957,15149,22783,2020-04-24
42125,3143,16013,22969,2020-04-25
43540,3300,16883,23357,2020-04-26
44907,3483,18268,23156,2020-04-27
46287,3675,19231,23381,2020-04-28
47687,3912,20327,23448,2020-04-29
49089,4088,21424,23577,2020-04-30
50756,4288,22764,23704,2020-05-01
52242,4434,23814,23994,2020-05-02
54724,4573,24921,25230,2020-05-03
56107,4806,26030,25271,2020-05-04
57308,4974,27006,25328,2020-05-05
58717,5127,28184,25406,2020-05-06
60170,5272,29260,25638,2020-05-07
61562,5424,30239,25899,2020-05-08
62747,5587,31262,25898,2020-05-09
63824,5704,32109,26011,2020-05-10
64950,5838,33007,26105,2020-05-11
66060,5988,34055,26017,2020-05-12
67147,6089,35177,25881,2020-05-13
68310,6209,36104,25997,2020-05-14
69430,6326,36908,26196,2020-05-15
70605,6444,37832,26329,2020-05-16
71674,6533,38563,26578,2020-05-17
72714,6624,39251,26839,2020-05-18
73763,6699,40069,26995,2020-05-19
74826,6821,40793,27212,2020-05-20
75960,6913,41731,27316,2020-05-21
77133,7009,42608,27516,2020-05-22
78319,7102,43318,27899,2020-05-23
79232,7190,43998,28044,2020-05-24
80226,7281,44651,28294,2020-05-25
81175,7372,45352,28451,2020-05-26
