Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
1,0,0,1,2020-03-13
1,0,0,1,2020-03-14
1,0,0,1,2020-03-15
5,0,0,5,2020-03-16
5,0,0,5,2020-03-17
6,0,0,6,2020-03-18
6,0,0,6,2020-03-19
9,0,0,9,2020-03-20
9,0,0,9,2020-03-21
11,0,4,7,2020-03-22
11,0,4,7,2020-03-23
12,0,0,12,2020-03-24
12,0,0,12,2020-03-25
12,0,0,12,2020-03-26
16,0,0,16,2020-03-27
16,0,1,15,2020-03-28
21,0,1,20,2020-03-29
23,0,4,19,2020-03-30
26,0,2,24,2020-03-31
29,0,2,27,2020-04-01
29,0,3,26,2020-04-02
35,0,3,32,2020-04-03
38,0,4,34,2020-04-04
43,2,4,37,2020-04-05
44,2,4,38,2020-04-06
52,2,4,46,2020-04-07
55,2,4,49,2020-04-08
56,2,4,50,2020-04-09
65,3,4,58,2020-04-10
69,3,10,56,2020-04-11
71,3,10,58,2020-04-12
74,3,14,57,2020-04-13
82,3,14,65,2020-04-14
85,3,15,67,2020-04-15
92,3,15,74,2020-04-16
96,3,15,78,2020-04-17
105,3,16,86,2020-04-18
108,3,16,89,2020-04-19
111,3,16,92,2020-04-20
114,3,16,95,2020-04-21
116,3,21,92,2020-04-22
116,3,21,92,2020-04-23
117,3,25,89,2020-04-24
122,3,29,90,2020-04-25
123,3,41,79,2020-04-26
124,3,50,71,2020-04-27
126,3,50,73,2020-04-28
130,3,58,69,2020-04-29
131,3,59,69,2020-04-30
133,3,66,64,2020-05-01
133,3,69,61,2020-05-02
135,3,75,57,2020-05-03
140,3,75,62,2020-05-04
145,4,91,50,2020-05-05
162,4,93,65,2020-05-06
191,4,93,94,2020-05-07
194,4,95,95,2020-05-08
210,5,97,108,2020-05-09
239,5,99,135,2020-05-10
250,5,105,140,2020-05-11
261,5,106,150,2020-05-12
263,5,108,150,2020-05-13
272,5,108,159,2020-05-14
287,5,112,170,2020-05-15
306,5,113,188,2020-05-16
317,5,113,199,2020-05-17
352,5,116,231,2020-05-18
365,5,120,240,2020-05-19
389,5,122,262,2020-05-20
399,5,123,271,2020-05-21
433,5,128,300,2020-05-22
494,5,151,338,2020-05-23
582,5,152,425,2020-05-24
655,5,159,491,2020-05-25
701,6,167,528,2020-05-26
731,6,181,544,2020-05-27
831,7,191,633,2020-05-28
968,8,197,763,2020-05-29
1063,8,208,847,2020-05-30
1172,11,209,952,2020-05-31
1257,12,217,1028,2020-06-01
1344,14,231,1099,2020-06-02
1486,17,246,1223,2020-06-03
1636,18,250,1368,2020-06-04
1805,19,262,1524,2020-06-05
1934,20,281,1633,2020-06-06
2020,27,344,1649,2020-06-07
2156,27,361,1768,2020-06-08
2336,32,379,1925,2020-06-09
