Confirmed,Deaths,Recovered,Active,Date
1,0,0,1,2020-01-22
1,0,0,1,2020-01-23
2,0,0,2,2020-01-24
2,0,0,2,2020-01-25
5,0,0,5,2020-01-26
5,0,0,5,2020-01-27
5,0,0,5,2020-01-28
6,0,0,6,2020-01-29
6,0,0,6,2020-01-30
8,0,0,8,2020-01-31
8,0,0,8,2020-02-01
8,0,0,8,2020-02-02
11,0,0,11,2020-02-03
11,0,0,11,2020-02-04
11,0,0,11,2020-02-05
12,0,0,12,2020-02-06
12,0,0,12,2020-02-07
12,0,0,12,2020-02-08
12,0,3,9,2020-02-09
12,0,3,9,2020-02-10
13,0,3,10,2020-02-11
13,0,3,10,2020-02-12
14,0,3,11,2020-02-13
14,0,3,11,2020-02-14
14,0,3,11,2020-02-15
14,0,3,11,2020-02-16
14,0,3,11,2020-02-17
14,0,3,11,2020-02-18
14,0,3,11,2020-02-19
14,0,3,11,2020-02-20
16,0,5,11,2020-02-21
16,0,5,11,2020-02-22
16,0,5,11,2020-02-23
16,0,5,11,2020-02-24
16,0,6,10,2020-02-25
16,0,6,10,2020-02-26
17,0,6,11,2020-02-27
17,0,7,10,2020-02-28
25,1,7,17,2020-02-29
32,1,7,24,2020-03-01
55,6,7,42,2020-03-02
74,7,7,60,2020-03-03
107,11,7,89,2020-03-04
184,12,7,165,2020-03-05
237,14,7,216,2020-03-06
403,17,7,379,2020-03-07
519,21,7,491,2020-03-08
594,22,7,565,2020-03-09
782,28,8,746,2020-03-10
1147,33,8,1106,2020-03-11
1586,43,12,1531,2020-03-12
2219,51,12,2156,2020-03-13
2978,58,12,2908,2020-03-14
3212,70,12,3130,2020-03-15
4679,97,17,4565,2020-03-16
6512,133,17,6362,2020-03-17
9169,192,105,8872,2020-03-18
13663,264,121,13278,2020-03-19
20030,367,147,19516,2020-03-20
26025,466,176,25383,2020-03-21
34855,576,178,34101,2020-03-22
46086,763,178,45145,2020-03-23
56698,1004,348,55346,2020-03-24
68773,1330,361,67082,2020-03-25
86613,1742,681,84190,2020-03-26
105293,2263,869,102161,2020-03-27
124900,2898,1072,120930,2020-03-28
143779,3490,2665,137624,2020-03-29
165861,4187,5644,156030,2020-03-30
192177,5278,7024,179875,2020-03-31
224418,6539,8474,209405,2020-04-01
256636,8035,9001,239600,2020-04-02
288906,9442,9707,269757,2020-04-03
321318,10989,14652,295677,2020-04-04
351203,12570,17448,321185,2020-04-05
382613,14326,19581,348706,2020-04-06
413382,16900,21763,374719,2020-04-07
444580,19043,23559,401978,2020-04-08
480534,21249,25410,433875,2020-04-09
514942,23467,28790,462685,2020-04-10
544119,25599,31270,487250,2020-04-11
571400,27419,32988,510993,2020-04-12
598310,29381,43482,525447,2020-04-13
627082,31824,47763,547495,2020-04-14
652513,34422,52096,565995,2020-04-15
682548,36582,54703,591263,2020-04-16
715267,38673,58545,618049,2020-04-17
743223,40646,64840,637737,2020-04-18
769416,42584,70337,656495,2020-04-19
799212,44780,72329,682103,2020-04-20
825046,47318,75204,702524,2020-04-21
853818,49746,77366,726706,2020-04-22
887386,52202,80203,754981,2020-04-23
919658,54362,99079,766217,2020-04-24
950100,56068,100372,793660,2020-04-25
976680,57418,106988,812274,2020-04-26
1000298,58882,111424,829992,2020-04-27
1024746,61106,115936,847704,2020-04-28
1051136,63625,120720,866791,2020-04-29
1080303,66028,153947,860328,2020-04-30
1115219,67916,164015,883288,2020-05-01
1142639,69621,175382,897636,2020-05-02
1167095,70739,180152,916204,2020-05-03
1191071,72063,187180,931828,2020-05-04
1215543,74350,189791,951402,2020-05-05
1240053,76699,189910,973444,2020-05-06
1267418,78618,195036,993764,2020-05-07
1294224,80367,198993,1014864,2020-05-08
1319414,81899,212534,1024981,2020-05-09
1338381,82810,216169,1039402,2020-05-10
1357566,83810,232733,1041023,2020-05-11
1380423,85428,230287,1064708,2020-05-12
1400812,87170,243430,1070212,2020-05-13
1427725,88951,246414,1092360,2020-05-14
1452425,90621,250747,1111057,2020-05-15
1476586,91893,268376,1116317,2020-05-16
1495068,92656,272265,1130147,2020-05-17
1517302,93832,283178,1140292,2020-05-18
1538241,95333,289392,1153516,2020-05-19
1560975,96848,294312,1169815,2020-05-20
1586662,98055,298418,1190189,2020-05-21
1610252,99300,350135,1160817,2020-05-22
1631496,100447,361239,1169810,2020-05-23
1651676,101055,366736,1183885,2020-05-24
1670442,101614,379157,1189671,2020-05-25
1689948,102277,384902,1202769,2020-05-26
1708342,103777,391508,1213057,2020-05-27
1730551,104944,399991,1225616,2020-05-28
1755010,106111,406446,1242453,2020-05-29
1778689,107061,416461,1255167,2020-05-30
1797763,107755,444758,1245250,2020-05-31
1815200,108536,458231,1248433,2020-06-01
1836574,109576,463868,1263130,2020-06-02
1856276,110570,479258,1266448,2020-06-03
1877823,111588,485002,1281233,2020-06-04
1903298,112476,491706,1299116,2020-06-05
1924571,113179,500849,1310543,2020-06-06
1942472,113629,506367,1322476,2020-06-07
1959988,114136,518522,1327330,2020-06-08
1978167,115057,524855,1338255,2020-06-09
1999178,115950,533504,1349724,2020-06-10
2022249,116803,540292,1365154,2020-06-11
2046987,117621,547386,1381980,2020-06-12
2072111,118393,556606,1397112,2020-06-13
2091205,118708,561816,1410681,2020-06-14
2110841,119095,576334,1415412,2020-06-15
2134198,119916,583503,1430779,2020-06-16
2160815,120657,592191,1447967,2020-06-17
2188746,121346,599115,1468285,2020-06-18
2219943,122008,606715,1491220,2020-06-19
2252125,122613,617460,1512052,2020-06-20
2277398,122912,622133,1532353,2020-06-21
2308786,123301,640198,1545287,2020-06-22
2344930,124142,647548,1573240,2020-06-23
2379799,124899,656161,1598739,2020-06-24
2419613,125441,663562,1630610,2020-06-25
2465116,126070,670809,1668237,2020-06-26
2506339,126578,679308,1700453,2020-06-27
2546782,126870,685164,1734748,2020-06-28
2587430,127261,705203,1754966,2020-06-29
2633466,127893,720631,1784942,2020-06-30
2684885,128590,729994,1826301,2020-07-01
2741180,129323,781970,1829887,2020-07-02
2792300,129985,790404,1871911,2020-07-03
2838085,130278,894325,1813482,2020-07-04
2889103,130582,906763,1851758,2020-07-05
2932001,130945,924148,1876908,2020-07-06
2992598,132145,936476,1923977,2020-07-07
3052898,133002,953462,1966434,2020-07-08
3115732,134007,969111,2012614,2020-07-09
3183634,134820,983185,2065629,2020-07-10
3244493,135531,995576,2113386,2020-07-11
3303223,135996,1006326,2160901,2020-07-12
3361729,136423,1031939,2193367,2020-07-13
3429909,137351,1049098,2243460,2020-07-14
3498016,138319,1075882,2283815,2020-07-15
3573831,139281,1090645,2343905,2020-07-16
3645631,140200,1107204,2398227,2020-07-17
3708311,141070,1122720,2444521,2020-07-18
3769030,141540,1131121,2496369,2020-07-19
3831042,142084,1160087,2528871,2020-07-20
3895883,143207,1182018,2570658,2020-07-21
3966659,144425,1210849,2611386,2020-07-22
4035507,145522,1233269,2656717,2020-07-23
4108964,146675,1261624,2700666,2020-07-24
4173928,147555,1279414,2746960,2020-07-25
4229037,148076,1297863,2783099,2020-07-26
4285458,149208,1325804,2810445,2020-07-27
4351764,150569,1355363,2845835,2020-07-28
4423576,151991,1389425,2882163,2020-07-29
4491150,153215,1414155,2923784,2020-07-30
4559806,154478,1438160,2967170,2020-07-31
4616171,155574,1461885,2998714,2020-08-01
